Events for energy 89.716412 GeV:
Cross section pb: 0.2482821978359315
Total number of events: 997984

pid = -11, p = (1.184231009136266, 0.4421959443608851, 21.45702432814239, 21.49422791392667), Parent_PIDs = (-12, 2), theta = 0.05884493666767134, phi = 0.35737022099567284
pid = 2112, p = (-0.36424804455491694, -0.49917289408875093, 2.393173015792116, 2.644223720597512), Parent_PIDs = (1, 2101), theta = 0.25269031725358543, phi = 4.082004888272065
pid = 22, p = (-0.35696362908542423, -0.17687564358605004, 3.879118177642856, 3.899521234959882), Parent_PIDs = (221, 90), theta = 0.10234026075386121, phi = 3.6016341584989315
pid = 13, p = (-0.12868392097833808, 0.004125400155666905, 1.6216707118903153, 1.630201369109854), Parent_PIDs = (221, 90), theta = 0.07922726289995803, phi = 3.109545232944665
pid = -13, p = (-0.33433541451758975, 0.2297271931582497, 3.4232096070436366, 3.4487799004913127), Parent_PIDs = (221, 90), theta = 0.11795086548229272, phi = 2.539566147184506

pid = -11, p = (1.4646627100207024, -0.1405351632234198, 35.734967788083125, 35.76524723894254), Parent_PIDs = (-11, -11), theta = 0.041151815332389104, phi = 6.187527617621508
pid = 2212, p = (-0.28861921120524703, -0.09499381839855639, 4.8730703728740865, 4.971869902410346), Parent_PIDs = (3122, 90), theta = 0.062272284319279794, phi = 3.459557254786891
pid = -211, p = (-0.0800300934849913, 0.019322045651091815, 1.5301466518676983, 1.5387029337832843), Parent_PIDs = (3122, 90), theta = 0.053753184619061534, phi = 2.904691505496361
pid = 13, p = (-0.22481289904052096, 0.13138955459363957, 0.6994105498918364, 0.7537527496011662), Parent_PIDs = (223, 90), theta = 0.35640341898123107, phi = 2.6126932220855097
pid = -13, p = (-0.08998675160987671, 0.023394973335404717, 0.39053637401923225, 0.41512363854007606), Parent_PIDs = (223, 90), theta = 0.23372699334394234, phi = 2.8872410631567336
pid = 321, p = (-0.12272152035153716, 0.037019834978772495, 2.905912565305631, 2.9503353740448564), Parent_PIDs = (333, 90), theta = 0.044082735148116246, phi = 2.8486161508229015
pid = -321, p = (0.06593566316145821, 0.040274500707187466, 3.842729703943995, 3.8750820722995347), Parent_PIDs = (333, 90), theta = 0.020103530865477604, phi = 0.5483338736751392
pid = 22, p = (-0.02961143483542348, -0.030650801172360884, 0.02378570654956736, 0.0488064393454619), Parent_PIDs = (111, 90), theta = 1.061746564263868, phi = 3.9442364979179927
pid = 22, p = (-0.004847106372162381, -0.3875610913053372, 0.6309114518908607, 0.7404568549625296), Parent_PIDs = (111, 90), theta = 0.5508937931649618, phi = 4.699882942547394
pid = 211, p = (-0.34023549035393463, 0.424237563533051, 1.8003608027719327, 1.8858728759559695), Parent_PIDs = (310, 90), theta = 0.2933459978918438, phi = 2.2467512374311998
pid = -211, p = (-0.34973386592847305, -0.02189759869947111, 1.407988224794988, 1.4576364114097244), Parent_PIDs = (310, 90), theta = 0.24392334114137504, phi = 3.2041232032702998

pid = -11, p = (1.4646627100207024, -0.1405351632234198, 35.734967788083125, 35.76524723894254), Parent_PIDs = (-11, -11), theta = 0.041151815332389104, phi = 6.187527617621508
pid = 2212, p = (-0.28861921120524703, -0.09499381839855639, 4.8730703728740865, 4.971869902410346), Parent_PIDs = (3122, 90), theta = 0.062272284319279794, phi = 3.459557254786891
pid = -211, p = (-0.0800300934849913, 0.019322045651091815, 1.5301466518676983, 1.5387029337832843), Parent_PIDs = (3122, 90), theta = 0.053753184619061534, phi = 2.904691505496361
pid = 13, p = (-0.22481289904052096, 0.13138955459363957, 0.6994105498918364, 0.7537527496011662), Parent_PIDs = (223, 90), theta = 0.35640341898123107, phi = 2.6126932220855097
pid = -13, p = (-0.08998675160987671, 0.023394973335404717, 0.39053637401923225, 0.41512363854007606), Parent_PIDs = (223, 90), theta = 0.23372699334394234, phi = 2.8872410631567336
pid = 321, p = (-0.12272152035153716, 0.037019834978772495, 2.905912565305631, 2.9503353740448564), Parent_PIDs = (333, 90), theta = 0.044082735148116246, phi = 2.8486161508229015
pid = -321, p = (0.06593566316145821, 0.040274500707187466, 3.842729703943995, 3.8750820722995347), Parent_PIDs = (333, 90), theta = 0.020103530865477604, phi = 0.5483338736751392
pid = 22, p = (-0.02961143483542348, -0.030650801172360884, 0.02378570654956736, 0.0488064393454619), Parent_PIDs = (111, 90), theta = 1.061746564263868, phi = 3.9442364979179927
pid = 22, p = (-0.004847106372162381, -0.3875610913053372, 0.6309114518908607, 0.7404568549625296), Parent_PIDs = (111, 90), theta = 0.5508937931649618, phi = 4.699882942547394
pid = 211, p = (-0.34023549035393463, 0.424237563533051, 1.8003608027719327, 1.8858728759559695), Parent_PIDs = (310, 90), theta = 0.2933459978918438, phi = 2.2467512374311998
pid = -211, p = (-0.34973386592847305, -0.02189759869947111, 1.407988224794988, 1.4576364114097244), Parent_PIDs = (310, 90), theta = 0.24392334114137504, phi = 3.2041232032702998

pid = -11, p = (1.4646627100207024, -0.1405351632234198, 35.734967788083125, 35.76524723894254), Parent_PIDs = (-11, -11), theta = 0.041151815332389104, phi = 6.187527617621508
pid = 2212, p = (-0.28861921120524703, -0.09499381839855639, 4.8730703728740865, 4.971869902410346), Parent_PIDs = (3122, 90), theta = 0.062272284319279794, phi = 3.459557254786891
pid = -211, p = (-0.0800300934849913, 0.019322045651091815, 1.5301466518676983, 1.5387029337832843), Parent_PIDs = (3122, 90), theta = 0.053753184619061534, phi = 2.904691505496361
pid = 13, p = (-0.22481289904052096, 0.13138955459363957, 0.6994105498918364, 0.7537527496011662), Parent_PIDs = (223, 90), theta = 0.35640341898123107, phi = 2.6126932220855097
pid = -13, p = (-0.08998675160987671, 0.023394973335404717, 0.39053637401923225, 0.41512363854007606), Parent_PIDs = (223, 90), theta = 0.23372699334394234, phi = 2.8872410631567336
pid = 321, p = (-0.12272152035153716, 0.037019834978772495, 2.905912565305631, 2.9503353740448564), Parent_PIDs = (333, 90), theta = 0.044082735148116246, phi = 2.8486161508229015
