Events for energy 2837.082046 GeV:
Cross section pb: 8.920350551558172
Total number of events: 999976

pid = -11, p = (1.3782921899287843, 1.7185338594757096, 89.21309628051253, 89.24029132742733), Parent_PIDs = (-11, -11), theta = 0.024688257141461434, phi = 0.8948271340442545
pid = -211, p = (0.3795871011415848, 1.5823673984824598, 222.70385938977483, 222.70984809800532), Parent_PIDs = (1, 2203), theta = 0.007306700400752035, phi = 1.3353595491951804
pid = -211, p = (0.7055843755046118, -0.2118798578194527, 5.888086311600953, 5.935636661965448), Parent_PIDs = (1, 2203), theta = 0.1244720024137809, phi = 5.991462575489726
pid = 211, p = (-0.0512236305697594, 0.27037812765199104, 0.6208989285132386, 0.6933422362515007), Parent_PIDs = (1, 2203), theta = 0.4171916114521498, phi = 1.7580291478093184
pid = 211, p = (-0.0019128391687915358, 0.30030117613851853, 1.4324462398555322, 1.4702266731086462), Parent_PIDs = (1, 2203), theta = 0.2066535526366836, phi = 1.5771659765039054
pid = -211, p = (-0.0021467065995962042, -0.23689554231739787, 0.501246208172655, 0.5717094125747304), Parent_PIDs = (1, -2), theta = 0.4415149302008563, phi = 4.703327400663425
pid = 321, p = (-1.1797579194588916, -0.22792231070717733, 253.25800234471043, 253.26133390019092), Parent_PIDs = (1, -2), theta = 0.004744425957768846, phi = 3.3324356299422435
pid = -321, p = (-2.8790915782233437, -3.156920836467244, 1108.9678516466993, 1108.9761922707453), Parent_PIDs = (1, -2), theta = 0.00385277449166732, phi = 3.972986961815637
pid = 321, p = (0.3741821824423932, 0.38108227166549213, 170.6204130635451, 170.621963152229), Parent_PIDs = (323, 90), theta = 0.0031301832555692428, phi = 0.7945339001849281
pid = 211, p = (-0.15740400548671257, 0.2460051830652048, 7.39890158357462, 7.405978598359643), Parent_PIDs = (113, 90), theta = 0.03945191080240326, phi = 2.139996144041702
pid = -211, p = (-0.07543143521729354, -0.501965284160428, 6.28594378706873, 6.307949597690921), Parent_PIDs = (113, 90), theta = 0.08057695892531094, phi = 4.5632328182526125
pid = 2212, p = (-0.05897239159112855, -0.3121078834308104, 4.090244312029715, 4.208484073732617), Parent_PIDs = (2114, 90), theta = 0.07750007134972337, phi = 4.525641860109528
pid = -211, p = (0.30274404165968205, 0.08274754129986571, 1.2570664563219887, 1.3031488674980825), Parent_PIDs = (2114, 90), theta = 0.2446658666937431, phi = 0.2668083911046306
pid = 211, p = (0.0011357421776496401, 0.07467750157373121, 25.69600721515441, 25.696494792195278), Parent_PIDs = (323, 90), theta = 0.002906518770615491, phi = 1.5555888734217176
pid = -211, p = (-0.04476170964541239, -0.15228547257165645, 20.343801084131695, 20.34489903664859), Parent_PIDs = (-323, 90), theta = 0.007802104274088006, phi = 4.42650759072224
pid = 130, p = (-0.4226923847304811, -0.44500847638062774, 26.722992553620237, 26.73467127400489), Parent_PIDs = (311, 311), theta = 0.022963452165941235, phi = 3.9527037951399002
pid = 321, p = (-0.13732191968041532, 0.04544482825181782, 38.709349626944835, 38.71276780372973), Parent_PIDs = (333, 90), theta = 0.003736709435104986, phi = 2.8220008454454586
pid = -321, p = (-0.011309510810371876, -0.018200061716441326, 55.50280979091666, 55.505009447583696), Parent_PIDs = (333, 90), theta = 0.0003860655209690791, phi = 4.1563829175105695
pid = 13, p = (0.11669899036208158, -0.10749899180489755, 0.2038206882285199, 0.2790727434568773), Parent_PIDs = (223, 90), theta = 0.6614652918709741, phi = 5.538799287467737
pid = -13, p = (0.0916921794758871, 0.07279731289715768, 0.9316886652803946, 0.9449416432531939), Parent_PIDs = (223, 90), theta = 0.1250053081709902, phi = 0.6710296901837198
pid = 211, p = (0.14634351358008332, 0.06380035599164043, 1.039808054605989, 1.0612103866411766), Parent_PIDs = (221, 90), theta = 0.15234466972281305, phi = 0.4111196346458172
