Events for energy 17.900778 GeV:
Cross section pb: 0.03375838969883892
Total number of events: 974328

pid = -11, p = (-0.6329596146149772, 0.37337527789117136, 9.552299626927482, 9.580525841288345), Parent_PIDs = (-11, 90), theta = 0.07678090417443081, phi = 2.6086416311896725
pid = 22, p = (-0.20687202311455585, 0.2319356906386066, 1.1354971873797932, 1.1772612543895842), Parent_PIDs = (22, 22), theta = 0.2671605338410669, phi = 2.299138828125108
pid = 2112, p = (0.5064515672181229, -0.45866443204704677, 1.9682757982149717, 2.2855563116890205), Parent_PIDs = (1, 2101), theta = 0.3341286819600039, phi = 5.547261134169673
pid = 22, p = (0.1581909788639745, 0.16055494424026603, 0.23713903187179655, 0.32716539601710687), Parent_PIDs = (221, 90), theta = 0.7600098877753498, phi = 0.7928144842473439
pid = 13, p = (0.0502115224774368, -0.09611663487487537, 0.06200308369112155, 0.16360935937891988), Parent_PIDs = (221, 90), theta = 1.051397264134324, phi = 5.193797157593362
pid = -13, p = (0.12497756916999733, -0.21108484584812154, 0.2571259539508943, 0.3707478883790495), Parent_PIDs = (221, 90), theta = 0.7618818806971256, phi = 5.246959174052996

pid = -11, p = (-0.6329596146149772, 0.37337527789117136, 9.552299626927482, 9.580525841288345), Parent_PIDs = (-11, 90), theta = 0.07678090417443081, phi = 2.6086416311896725
pid = 22, p = (-0.20687202311455585, 0.2319356906386066, 1.1354971873797932, 1.1772612543895842), Parent_PIDs = (22, 22), theta = 0.2671605338410669, phi = 2.299138828125108
pid = 2112, p = (0.5064515672181229, -0.45866443204704677, 1.9682757982149717, 2.2855563116890205), Parent_PIDs = (1, 2101), theta = 0.3341286819600039, phi = 5.547261134169673
pid = 22, p = (0.1581909788639745, 0.16055494424026603, 0.23713903187179655, 0.32716539601710687), Parent_PIDs = (221, 90), theta = 0.7600098877753498, phi = 0.7928144842473439
pid = 13, p = (0.0502115224774368, -0.09611663487487537, 0.06200308369112155, 0.16360935937891988), Parent_PIDs = (221, 90), theta = 1.051397264134324, phi = 5.193797157593362
pid = -13, p = (0.12497756916999733, -0.21108484584812154, 0.2571259539508943, 0.3707478883790495), Parent_PIDs = (221, 90), theta = 0.7618818806971256, phi = 5.246959174052996

pid = -11, p = (-0.6329596146149772, 0.37337527789117136, 9.552299626927482, 9.580525841288345), Parent_PIDs = (-11, 90), theta = 0.07678090417443081, phi = 2.6086416311896725
pid = 22, p = (-0.20687202311455585, 0.2319356906386066, 1.1354971873797932, 1.1772612543895842), Parent_PIDs = (22, 22), theta = 0.2671605338410669, phi = 2.299138828125108
pid = 2112, p = (0.5064515672181229, -0.45866443204704677, 1.9682757982149717, 2.2855563116890205), Parent_PIDs = (1, 2101), theta = 0.3341286819600039, phi = 5.547261134169673
pid = 22, p = (0.1581909788639745, 0.16055494424026603, 0.23713903187179655, 0.32716539601710687), Parent_PIDs = (221, 90), theta = 0.7600098877753498, phi = 0.7928144842473439
pid = 13, p = (0.0502115224774368, -0.09611663487487537, 0.06200308369112155, 0.16360935937891988), Parent_PIDs = (221, 90), theta = 1.051397264134324, phi = 5.193797157593362
pid = -13, p = (0.12497756916999733, -0.21108484584812154, 0.2571259539508943, 0.3707478883790495), Parent_PIDs = (221, 90), theta = 0.7618818806971256, phi = 5.246959174052996

pid = -11, p = (-0.6329596146149772, 0.37337527789117136, 9.552299626927482, 9.580525841288345), Parent_PIDs = (-11, 90), theta = 0.07678090417443081, phi = 2.6086416311896725
pid = 22, p = (-0.20687202311455585, 0.2319356906386066, 1.1354971873797932, 1.1772612543895842), Parent_PIDs = (22, 22), theta = 0.2671605338410669, phi = 2.299138828125108
pid = 2112, p = (0.5064515672181229, -0.45866443204704677, 1.9682757982149717, 2.2855563116890205), Parent_PIDs = (1, 2101), theta = 0.3341286819600039, phi = 5.547261134169673
pid = 22, p = (0.1581909788639745, 0.16055494424026603, 0.23713903187179655, 0.32716539601710687), Parent_PIDs = (221, 90), theta = 0.7600098877753498, phi = 0.7928144842473439
pid = 13, p = (0.0502115224774368, -0.09611663487487537, 0.06200308369112155, 0.16360935937891988), Parent_PIDs = (221, 90), theta = 1.051397264134324, phi = 5.193797157593362
pid = -13, p = (0.12497756916999733, -0.21108484584812154, 0.2571259539508943, 0.3707478883790495), Parent_PIDs = (221, 90), theta = 0.7618818806971256, phi = 5.246959174052996

pid = -11, p = (-0.6329596146149772, 0.37337527789117136, 9.552299626927482, 9.580525841288345), Parent_PIDs = (-11, 90), theta = 0.07678090417443081, phi = 2.6086416311896725
pid = 22, p = (-0.20687202311455585, 0.2319356906386066, 1.1354971873797932, 1.1772612543895842), Parent_PIDs = (22, 22), theta = 0.2671605338410669, phi = 2.299138828125108
pid = 2112, p = (0.5064515672181229, -0.45866443204704677, 1.9682757982149717, 2.2855563116890205), Parent_PIDs = (1, 2101), theta = 0.3341286819600039, phi = 5.547261134169673
pid = 22, p = (0.1581909788639745, 0.16055494424026603, 0.23713903187179655, 0.32716539601710687), Parent_PIDs = (221, 90), theta = 0.7600098877753498, phi = 0.7928144842473439
pid = 13, p = (0.0502115224774368, -0.09611663487487537, 0.06200308369112155, 0.16360935937891988), Parent_PIDs = (221, 90), theta = 1.051397264134324, phi = 5.193797157593362
pid = -13, p = (0.12497756916999733, -0.21108484584812154, 0.2571259539508943, 0.3707478883790495), Parent_PIDs = (221, 90), theta = 0.7618818806971256, phi = 5.246959174052996

pid = -11, p = (-0.6329596146149772, 0.37337527789117136, 9.552299626927482, 9.580525841288345), Parent_PIDs = (-11, 90), theta = 0.07678090417443081, phi = 2.6086416311896725
pid = 22, p = (-0.20687202311455585, 0.2319356906386066, 1.1354971873797932, 1.1772612543895842), Parent_PIDs = (22, 22), theta = 0.2671605338410669, phi = 2.299138828125108
pid = 2112, p = (0.5064515672181229, -0.45866443204704677, 1.9682757982149717, 2.2855563116890205), Parent_PIDs = (1, 2101), theta = 0.3341286819600039, phi = 5.547261134169673
pid = 22, p = (0.1581909788639745, 0.16055494424026603, 0.23713903187179655, 0.32716539601710687), Parent_PIDs = (221, 90), theta = 0.7600098877753498, phi = 0.7928144842473439
pid = 13, p = (0.0502115224774368, -0.09611663487487537, 0.06200308369112155, 0.16360935937891988), Parent_PIDs = (221, 90), theta = 1.051397264134324, phi = 5.193797157593362
pid = -13, p = (0.12497756916999733, -0.21108484584812154, 0.2571259539508943, 0.3707478883790495), Parent_PIDs = (221, 90), theta = 0.7618818806971256, phi = 5.246959174052996

pid = -11, p = (-0.6329596146149772, 0.37337527789117136, 9.552299626927482, 9.580525841288345), Parent_PIDs = (-11, 90), theta = 0.07678090417443081, phi = 2.6086416311896725
pid = 22, p = (-0.20687202311455585, 0.2319356906386066, 1.1354971873797932, 1.1772612543895842), Parent_PIDs = (22, 22), theta = 0.2671605338410669, phi = 2.299138828125108
pid = 2112, p = (0.5064515672181229, -0.45866443204704677, 1.9682757982149717, 2.2855563116890205), Parent_PIDs = (1, 2101), theta = 0.3341286819600039, phi = 5.547261134169673
pid = 22, p = (0.1581909788639745, 0.16055494424026603, 0.23713903187179655, 0.32716539601710687), Parent_PIDs = (221, 90), theta = 0.7600098877753498, phi = 0.7928144842473439
