Events for energy 712.64279 GeV:
Cross section pb: 2.2227229261281036
Total number of events: 999800

pid = -11, p = (-0.7049684045916194, -3.8926682102539036, 583.3904977101695, 583.4039103957283), Parent_PIDs = (-11, 90), theta = 0.006780926391469771, phi = 4.533229228266524
pid = 22, p = (0.03307677511784638, -0.08857038283308105, 3.416043675485117, 3.4173517785837118), Parent_PIDs = (22, 22), theta = 0.02766973475174693, phi = 5.069801695888027
pid = 2112, p = (-0.3924803259968206, 0.7309179641220636, 3.4848128802083655, 3.7033760910197913), Parent_PIDs = (1, 2101), theta = 0.23371879435729692, phi = 2.063579955320811
pid = 130, p = (-0.30814520759143427, 0.5316249150137745, 12.888999327071392, 12.913229568336954), Parent_PIDs = (311, 311), theta = 0.047638242929727403, phi = 2.0961024496890066
pid = -321, p = (0.13930292471041517, 0.9720432171279656, 1.557261520399786, 1.9060578968423842), Parent_PIDs = (-313, 90), theta = 0.5626001064201007, phi = 1.4284560938350463
pid = 211, p = (-0.039765211364215576, 0.05682515627869089, 0.8474847782019528, 0.8616963529021993), Parent_PIDs = (-313, 90), theta = 0.08165646769655148, phi = 2.181375847609754
pid = -211, p = (0.21812444458160177, 0.1840027030834251, 3.9714819799908594, 3.984166684560041), Parent_PIDs = (3312, 90), theta = 0.07173116857662863, phi = 0.7007478210796143
pid = 14, p = (0.0029224405512107646, -0.10707388111729355, 0.8299635520392815, 0.836846971907025), Parent_PIDs = (-3112, 90), theta = 0.12834892683026983, phi = 4.739675888816171
pid = -13, p = (-0.006539634204865728, 0.0785414834575926, 1.213672332405325, 1.2208096073857848), Parent_PIDs = (-3112, 90), theta = 0.06484679892608058, phi = 1.6538681483559678
pid = -2112, p = (0.20790000918211307, 0.25987531749103177, 8.604714934485962, 8.6622553923978), Parent_PIDs = (-3112, 90), theta = 0.038657508295886114, phi = 0.8960559589810057
pid = 211, p = (0.14593057408075744, 0.344894361401782, 2.2235643819470585, 2.2591959185829555), Parent_PIDs = (310, 90), theta = 0.16685592391769594, phi = 1.1705219075450488
pid = -211, p = (0.01731859606935998, 0.1791512822338298, 4.355682307589963, 4.361633096129024), Parent_PIDs = (310, 90), theta = 0.04129871746992786, phi = 1.4744255493037317
pid = 2212, p = (0.48968994717922154, 0.6750178792915494, 9.783909371310981, 9.864110632016374), Parent_PIDs = (3122, 90), theta = 0.08502970379993999, phi = 0.9431949577706701
pid = -211, p = (0.19763307227643048, 0.07541819470257952, 2.212019421203913, 2.2264897125369587), Parent_PIDs = (3122, 90), theta = 0.09533954729346739, phi = 0.36455062584168746

pid = -11, p = (-0.7049684045916194, -3.8926682102539036, 583.3904977101695, 583.4039103957283), Parent_PIDs = (-11, 90), theta = 0.006780926391469771, phi = 4.533229228266524
pid = 22, p = (0.03307677511784638, -0.08857038283308105, 3.416043675485117, 3.4173517785837118), Parent_PIDs = (22, 22), theta = 0.02766973475174693, phi = 5.069801695888027
pid = 2112, p = (-0.3924803259968206, 0.7309179641220636, 3.4848128802083655, 3.7033760910197913), Parent_PIDs = (1, 2101), theta = 0.23371879435729692, phi = 2.063579955320811
pid = 130, p = (-0.30814520759143427, 0.5316249150137745, 12.888999327071392, 12.913229568336954), Parent_PIDs = (311, 311), theta = 0.047638242929727403, phi = 2.0961024496890066
pid = -321, p = (0.13930292471041517, 0.9720432171279656, 1.557261520399786, 1.9060578968423842), Parent_PIDs = (-313, 90), theta = 0.5626001064201007, phi = 1.4284560938350463
pid = 211, p = (-0.039765211364215576, 0.05682515627869089, 0.8474847782019528, 0.8616963529021993), Parent_PIDs = (-313, 90), theta = 0.08165646769655148, phi = 2.181375847609754
pid = -211, p = (0.21812444458160177, 0.1840027030834251, 3.9714819799908594, 3.984166684560041), Parent_PIDs = (3312, 90), theta = 0.07173116857662863, phi = 0.7007478210796143
pid = 14, p = (0.0029224405512107646, -0.10707388111729355, 0.8299635520392815, 0.836846971907025), Parent_PIDs = (-3112, 90), theta = 0.12834892683026983, phi = 4.739675888816171
pid = -13, p = (-0.006539634204865728, 0.0785414834575926, 1.213672332405325, 1.2208096073857848), Parent_PIDs = (-3112, 90), theta = 0.06484679892608058, phi = 1.6538681483559678
pid = -2112, p = (0.20790000918211307, 0.25987531749103177, 8.604714934485962, 8.6622553923978), Parent_PIDs = (-3112, 90), theta = 0.038657508295886114, phi = 0.8960559589810057
pid = 211, p = (0.14593057408075744, 0.344894361401782, 2.2235643819470585, 2.2591959185829555), Parent_PIDs = (310, 90), theta = 0.16685592391769594, phi = 1.1705219075450488
pid = -211, p = (0.01731859606935998, 0.1791512822338298, 4.355682307589963, 4.361633096129024), Parent_PIDs = (310, 90), theta = 0.04129871746992786, phi = 1.4744255493037317
pid = 2212, p = (0.48968994717922154, 0.6750178792915494, 9.783909371310981, 9.864110632016374), Parent_PIDs = (3122, 90), theta = 0.08502970379993999, phi = 0.9431949577706701
pid = -211, p = (0.19763307227643048, 0.07541819470257952, 2.212019421203913, 2.2264897125369587), Parent_PIDs = (3122, 90), theta = 0.09533954729346739, phi = 0.36455062584168746

pid = -11, p = (-0.7049684045916194, -3.8926682102539036, 583.3904977101695, 583.4039103957283), Parent_PIDs = (-11, 90), theta = 0.006780926391469771, phi = 4.533229228266524
pid = 22, p = (0.03307677511784638, -0.08857038283308105, 3.416043675485117, 3.4173517785837118), Parent_PIDs = (22, 22), theta = 0.02766973475174693, phi = 5.069801695888027
pid = 2112, p = (-0.3924803259968206, 0.7309179641220636, 3.4848128802083655, 3.7033760910197913), Parent_PIDs = (1, 2101), theta = 0.23371879435729692, phi = 2.063579955320811
