Energy,Cross_section_pb,Total_events,pid,momentum,parent_pids,theta,phi
56.607229,0.14656614455687686,996200.0,,,,,
,,,-11,"(-1.7210632340536536, -1.2151376390101722, 32.367972043076605, 32.43646455117852)","(-11, 90)",0.06499743445153389,3.7563601010200918
,,,22,"(-0.02702770406946174, -0.026360772424878606, 0.1790578267563138, 0.18299478799352925)","(22, 22)",0.20780592031434064,3.9144994143521514
,,,-211,"(0.40704424529851685, -0.14992071936633963, 10.312563264618257, 10.322625737252125)","(1, -2)",0.04203804623542659,5.930287828675569
,,,2112,"(0.4548813911251512, 0.3281920213304601, 0.7699198148255877, 1.3379818343378174)","(2214, 90)",0.6296237241296057,0.6250031447761796
,,,211,"(0.27060011593881284, -0.01421748501785855, 0.5705157310125001, 0.6468342475928891)","(2214, 90)",0.4434174219050953,6.230693001021247
,,,211,"(0.13016298754720151, 0.2211880769308202, 1.0869357783293991, 1.1255113237174044)","(331, 90)",0.2318709487334207,1.0388964299487062
,,,-211,"(0.006643741751047233, 0.19234405883711664, 0.8836586345484331, 0.9150807306387737)","(331, 90)",0.21444864997982732,1.536269128403129
,,,22,"(0.16088892742062624, 0.1936863971681211, 1.1460396840603722, 1.173374034507209)","(221, 90)",0.21627078513274445,0.8776336007948375
,,,13,"(0.15456928218232427, 0.14052472618131528, 0.8651383337533686, 0.8962517691989519)","(221, 90)",0.23692813501519305,0.7378405522899878
,,,-13,"(0.16330024685943254, 0.3297013353713954, 4.4191880920034095, 4.435736395377296)","(221, 90)",0.08306502004636745,1.1109177903265306
,,,,,,,
,,,-11,"(-1.7210632340536536, -1.2151376390101722, 32.367972043076605, 32.43646455117852)","(-11, 90)",0.06499743445153389,3.7563601010200918
,,,22,"(-0.02702770406946174, -0.026360772424878606, 0.1790578267563138, 0.18299478799352925)","(22, 22)",0.20780592031434064,3.9144994143521514
,,,-211,"(0.40704424529851685, -0.14992071936633963, 10.312563264618257, 10.322625737252125)","(1, -2)",0.04203804623542659,5.930287828675569
,,,2112,"(0.4548813911251512, 0.3281920213304601, 0.7699198148255877, 1.3379818343378174)","(2214, 90)",0.6296237241296057,0.6250031447761796
