Events for energy 35.716747 GeV:
Cross section pb: 0.08446031050140203
Total number of events: 992120

pid = -11, p = (0.31449966940983193, -0.8337125010684199, 7.194718534886108, 7.249687002474752), Parent_PIDs = (-12, 2), theta = 0.12322161721151975, phi = 5.073111502060959
pid = 2112, p = (0.7217972069932478, -0.06219271633601947, 1.8171681664628507, 2.1701960907011295), Parent_PIDs = (1, 2101), theta = 0.3793693647133938, phi = 6.1972338963370195
pid = 22, p = (-0.10946152740903395, 0.035985510022011905, 1.3698034186159993, 1.3746411126422566), Parent_PIDs = (111, 90), theta = 0.08392029072830069, phi = 2.823972484250937
pid = 22, p = (-0.1372104426876809, -0.04896801145124646, 3.838068729777833, 3.8408327412458956), Parent_PIDs = (111, 90), theta = 0.03794008229786565, phi = 3.484385706446712
pid = 22, p = (-0.1488293966189891, 0.0558343414664426, 0.8002585565116407, 0.8158930201043875), Parent_PIDs = (111, 90), theta = 0.19608114811469043, phi = 2.782684632147032
pid = 22, p = (0.024743859740741468, 0.0020098994065700856, 0.3009672530939308, 0.3019893801533429), Parent_PIDs = (111, 90), theta = 0.0822989275463302, phi = 0.08105026426101516
pid = 22, p = (-0.058569996035756064, 0.088586795214299, 0.3532797585182714, 0.36889653359810354), Parent_PIDs = (111, 90), theta = 0.292013231075712, phi = 2.154976538727221
pid = 22, p = (-0.33977344065336124, 0.17190201207690467, 1.9724912524165976, 2.008909662874244), Parent_PIDs = (111, 90), theta = 0.19070126284318903, phi = 2.6732112861387485
pid = 22, p = (-0.24139837334900488, 0.4846009020411879, 2.6365856640497753, 2.691597141621954), Parent_PIDs = (221, 90), theta = 0.20252521182542355, phi = 2.0329536386347207
pid = 13, p = (0.010677578152794139, 0.022515171937493694, 0.23300219215101423, 0.25705058021673893), Parent_PIDs = (221, 90), theta = 0.10654142053000955, phi = 1.1279688807194468
pid = -13, p = (-0.03647513754278887, 0.08343859669077688, 1.2288545722249633, 1.2367457419998216), Parent_PIDs = (221, 90), theta = 0.07396861341636526, phi = 1.9829125073509366

pid = -11, p = (0.31449966940983193, -0.8337125010684199, 7.194718534886108, 7.249687002474752), Parent_PIDs = (-12, 2), theta = 0.12322161721151975, phi = 5.073111502060959
pid = 2112, p = (0.7217972069932478, -0.06219271633601947, 1.8171681664628507, 2.1701960907011295), Parent_PIDs = (1, 2101), theta = 0.3793693647133938, phi = 6.1972338963370195
pid = 22, p = (-0.10946152740903395, 0.035985510022011905, 1.3698034186159993, 1.3746411126422566), Parent_PIDs = (111, 90), theta = 0.08392029072830069, phi = 2.823972484250937
pid = 22, p = (-0.1372104426876809, -0.04896801145124646, 3.838068729777833, 3.8408327412458956), Parent_PIDs = (111, 90), theta = 0.03794008229786565, phi = 3.484385706446712
pid = 22, p = (-0.1488293966189891, 0.0558343414664426, 0.8002585565116407, 0.8158930201043875), Parent_PIDs = (111, 90), theta = 0.19608114811469043, phi = 2.782684632147032
pid = 22, p = (0.024743859740741468, 0.0020098994065700856, 0.3009672530939308, 0.3019893801533429), Parent_PIDs = (111, 90), theta = 0.0822989275463302, phi = 0.08105026426101516
pid = 22, p = (-0.058569996035756064, 0.088586795214299, 0.3532797585182714, 0.36889653359810354), Parent_PIDs = (111, 90), theta = 0.292013231075712, phi = 2.154976538727221
pid = 22, p = (-0.33977344065336124, 0.17190201207690467, 1.9724912524165976, 2.008909662874244), Parent_PIDs = (111, 90), theta = 0.19070126284318903, phi = 2.6732112861387485
pid = 22, p = (-0.24139837334900488, 0.4846009020411879, 2.6365856640497753, 2.691597141621954), Parent_PIDs = (221, 90), theta = 0.20252521182542355, phi = 2.0329536386347207
pid = 13, p = (0.010677578152794139, 0.022515171937493694, 0.23300219215101423, 0.25705058021673893), Parent_PIDs = (221, 90), theta = 0.10654142053000955, phi = 1.1279688807194468
pid = -13, p = (-0.03647513754278887, 0.08343859669077688, 1.2288545722249633, 1.2367457419998216), Parent_PIDs = (221, 90), theta = 0.07396861341636526, phi = 1.9829125073509366

pid = -11, p = (0.31449966940983193, -0.8337125010684199, 7.194718534886108, 7.249687002474752), Parent_PIDs = (-12, 2), theta = 0.12322161721151975, phi = 5.073111502060959
pid = 2112, p = (0.7217972069932478, -0.06219271633601947, 1.8171681664628507, 2.1701960907011295), Parent_PIDs = (1, 2101), theta = 0.3793693647133938, phi = 6.1972338963370195
pid = 22, p = (-0.10946152740903395, 0.035985510022011905, 1.3698034186159993, 1.3746411126422566), Parent_PIDs = (111, 90), theta = 0.08392029072830069, phi = 2.823972484250937
pid = 22, p = (-0.1372104426876809, -0.04896801145124646, 3.838068729777833, 3.8408327412458956), Parent_PIDs = (111, 90), theta = 0.03794008229786565, phi = 3.484385706446712
pid = 22, p = (-0.1488293966189891, 0.0558343414664426, 0.8002585565116407, 0.8158930201043875), Parent_PIDs = (111, 90), theta = 0.19608114811469043, phi = 2.782684632147032
pid = 22, p = (0.024743859740741468, 0.0020098994065700856, 0.3009672530939308, 0.3019893801533429), Parent_PIDs = (111, 90), theta = 0.0822989275463302, phi = 0.08105026426101516
pid = 22, p = (-0.058569996035756064, 0.088586795214299, 0.3532797585182714, 0.36889653359810354), Parent_PIDs = (111, 90), theta = 0.292013231075712, phi = 2.154976538727221
pid = 22, p = (-0.33977344065336124, 0.17190201207690467, 1.9724912524165976, 2.008909662874244), Parent_PIDs = (111, 90), theta = 0.19070126284318903, phi = 2.6732112861387485
pid = 22, p = (-0.24139837334900488, 0.4846009020411879, 2.6365856640497753, 2.691597141621954), Parent_PIDs = (221, 90), theta = 0.20252521182542355, phi = 2.0329536386347207
pid = 13, p = (0.010677578152794139, 0.022515171937493694, 0.23300219215101423, 0.25705058021673893), Parent_PIDs = (221, 90), theta = 0.10654142053000955, phi = 1.1279688807194468
pid = -13, p = (-0.03647513754278887, 0.08343859669077688, 1.2288545722249633, 1.2367457419998216), Parent_PIDs = (221, 90), theta = 0.07396861341636526, phi = 1.9829125073509366

pid = -11, p = (0.31449966940983193, -0.8337125010684199, 7.194718534886108, 7.249687002474752), Parent_PIDs = (-12, 2), theta = 0.12322161721151975, phi = 5.073111502060959
pid = 2112, p = (0.7217972069932478, -0.06219271633601947, 1.8171681664628507, 2.1701960907011295), Parent_PIDs = (1, 2101), theta = 0.3793693647133938, phi = 6.1972338963370195
pid = 22, p = (-0.10946152740903395, 0.035985510022011905, 1.3698034186159993, 1.3746411126422566), Parent_PIDs = (111, 90), theta = 0.08392029072830069, phi = 2.823972484250937
pid = 22, p = (-0.1372104426876809, -0.04896801145124646, 3.838068729777833, 3.8408327412458956), Parent_PIDs = (111, 90), theta = 0.03794008229786565, phi = 3.484385706446712
