Events for energy 56.607229 GeV:
Cross section pb: 0.14656614455687686
Total number of events: 996200

pid = 22, p = (-0.02702770406946174, -0.026360772424878606, 0.1790578267563138, 0.18299478799352925), Parent_PIDs = (22, 22), theta = 0.20780592031434064, phi = 3.9144994143521514
pid = -211, p = (0.40704424529851685, -0.14992071936633963, 10.312563264618257, 10.322625737252125), Parent_PIDs = (1, -2), theta = 0.04203804623542659, phi = 5.930287828675569
pid = 2112, p = (0.4548813911251512, 0.3281920213304601, 0.7699198148255877, 1.3379818343378174), Parent_PIDs = (2214, 90), theta = 0.6296237241296057, phi = 0.6250031447761796
pid = 211, p = (0.27060011593881284, -0.01421748501785855, 0.5705157310125001, 0.6468342475928891), Parent_PIDs = (2214, 90), theta = 0.4434174219050953, phi = 6.230693001021247
pid = 211, p = (0.13016298754720151, 0.2211880769308202, 1.0869357783293991, 1.1255113237174044), Parent_PIDs = (331, 90), theta = 0.2318709487334207, phi = 1.0388964299487062
pid = -211, p = (0.006643741751047233, 0.19234405883711664, 0.8836586345484331, 0.9150807306387737), Parent_PIDs = (331, 90), theta = 0.21444864997982732, phi = 1.536269128403129
pid = 22, p = (0.16088892742062624, 0.1936863971681211, 1.1460396840603722, 1.173374034507209), Parent_PIDs = (221, 90), theta = 0.21627078513274445, phi = 0.8776336007948375
pid = 13, p = (0.15456928218232427, 0.14052472618131528, 0.8651383337533686, 0.8962517691989519), Parent_PIDs = (221, 90), theta = 0.23692813501519305, phi = 0.7378405522899878
pid = -13, p = (0.16330024685943254, 0.3297013353713954, 4.4191880920034095, 4.435736395377296), Parent_PIDs = (221, 90), theta = 0.08306502004636745, phi = 1.1109177903265306

pid = -11, p = (-1.7210632340536536, -1.2151376390101722, 32.367972043076605, 32.43646455117852), Parent_PIDs = (-11, 90), theta = 0.06499743445153389, phi = 3.7563601010200918
pid = 22, p = (-0.02702770406946174, -0.026360772424878606, 0.1790578267563138, 0.18299478799352925), Parent_PIDs = (22, 22), theta = 0.20780592031434064, phi = 3.9144994143521514
pid = -211, p = (0.40704424529851685, -0.14992071936633963, 10.312563264618257, 10.322625737252125), Parent_PIDs = (1, -2), theta = 0.04203804623542659, phi = 5.930287828675569
pid = 2112, p = (0.4548813911251512, 0.3281920213304601, 0.7699198148255877, 1.3379818343378174), Parent_PIDs = (2214, 90), theta = 0.6296237241296057, phi = 0.6250031447761796
pid = 211, p = (0.27060011593881284, -0.01421748501785855, 0.5705157310125001, 0.6468342475928891), Parent_PIDs = (2214, 90), theta = 0.4434174219050953, phi = 6.230693001021247
pid = 211, p = (0.13016298754720151, 0.2211880769308202, 1.0869357783293991, 1.1255113237174044), Parent_PIDs = (331, 90), theta = 0.2318709487334207, phi = 1.0388964299487062
pid = -211, p = (0.006643741751047233, 0.19234405883711664, 0.8836586345484331, 0.9150807306387737), Parent_PIDs = (331, 90), theta = 0.21444864997982732, phi = 1.536269128403129
pid = 22, p = (0.16088892742062624, 0.1936863971681211, 1.1460396840603722, 1.173374034507209), Parent_PIDs = (221, 90), theta = 0.21627078513274445, phi = 0.8776336007948375
pid = 13, p = (0.15456928218232427, 0.14052472618131528, 0.8651383337533686, 0.8962517691989519), Parent_PIDs = (221, 90), theta = 0.23692813501519305, phi = 0.7378405522899878
pid = -13, p = (0.16330024685943254, 0.3297013353713954, 4.4191880920034095, 4.435736395377296), Parent_PIDs = (221, 90), theta = 0.08306502004636745, phi = 1.1109177903265306

pid = -11, p = (0.9971554644078997, -1.56244607536418, 15.972830584973838, 16.080014736187778), Parent_PIDs = (-12, 2), theta = 0.11552569263307173, phi = 5.280425251716304
pid = 2112, p = (0.7390287230028135, 0.25733166709905525, 2.9872372200896247, 3.2278105635715266), Parent_PIDs = (1, 2101), theta = 0.2562069597225175, phi = 0.33507260839126085
pid = 22, p = (-0.006405205278605747, 0.05316060512966516, 0.07940469058417082, 0.09577150661434322), Parent_PIDs = (221, 90), theta = 0.5932903167213871, phi = 1.6907061174790394
pid = 13, p = (-0.5685611557862199, 0.5932996479235262, 7.262279875199763, 7.309387066055993), Parent_PIDs = (221, 90), theta = 0.11267336090059596, phi = 2.334905576204893
pid = -13, p = (-0.2017461201966403, 0.15739107785773832, 2.2504133473571404, 2.2673768363390296), Parent_PIDs = (221, 90), theta = 0.1132163515858288, phi = 2.4790766737680374
pid = 22, p = (-0.5906349581431267, 0.2819786436863855, 2.5851468175797963, 2.666710647542941), Parent_PIDs = (111, 90), theta = 0.2479642420136946, phi = 2.696174835625924
pid = 22, p = (-0.36883674800612753, 0.2192844336678083, 2.161741303578861, 2.203917347163359), Parent_PIDs = (111, 90), theta = 0.1959500115850646, phi = 2.605205076447667

pid = -11, p = (0.9971554644078997, -1.56244607536418, 15.972830584973838, 16.080014736187778), Parent_PIDs = (-12, 2), theta = 0.11552569263307173, phi = 5.280425251716304
pid = 2112, p = (0.7390287230028135, 0.25733166709905525, 2.9872372200896247, 3.2278105635715266), Parent_PIDs = (1, 2101), theta = 0.2562069597225175, phi = 0.33507260839126085
pid = 22, p = (-0.006405205278605747, 0.05316060512966516, 0.07940469058417082, 0.09577150661434322), Parent_PIDs = (221, 90), theta = 0.5932903167213871, phi = 1.6907061174790394
pid = 13, p = (-0.5685611557862199, 0.5932996479235262, 7.262279875199763, 7.309387066055993), Parent_PIDs = (221, 90), theta = 0.11267336090059596, phi = 2.334905576204893
pid = -13, p = (-0.2017461201966403, 0.15739107785773832, 2.2504133473571404, 2.2673768363390296), Parent_PIDs = (221, 90), theta = 0.1132163515858288, phi = 2.4790766737680374
pid = 22, p = (-0.5906349581431267, 0.2819786436863855, 2.5851468175797963, 2.666710647542941), Parent_PIDs = (111, 90), theta = 0.2479642420136946, phi = 2.696174835625924
pid = 22, p = (-0.36883674800612753, 0.2192844336678083, 2.161741303578861, 2.203917347163359), Parent_PIDs = (111, 90), theta = 0.1959500115850646, phi = 2.605205076447667

pid = -11, p = (0.9971554644078997, -1.56244607536418, 15.972830584973838, 16.080014736187778), Parent_PIDs = (-12, 2), theta = 0.11552569263307173, phi = 5.280425251716304
pid = 2112, p = (0.7390287230028135, 0.25733166709905525, 2.9872372200896247, 3.2278105635715266), Parent_PIDs = (1, 2101), theta = 0.2562069597225175, phi = 0.33507260839126085
pid = 22, p = (-0.006405205278605747, 0.05316060512966516, 0.07940469058417082, 0.09577150661434322), Parent_PIDs = (221, 90), theta = 0.5932903167213871, phi = 1.6907061174790394
pid = 13, p = (-0.5685611557862199, 0.5932996479235262, 7.262279875199763, 7.309387066055993), Parent_PIDs = (221, 90), theta = 0.11267336090059596, phi = 2.334905576204893
pid = -13, p = (-0.2017461201966403, 0.15739107785773832, 2.2504133473571404, 2.2673768363390296), Parent_PIDs = (221, 90), theta = 0.1132163515858288, phi = 2.4790766737680374
pid = 22, p = (-0.5906349581431267, 0.2819786436863855, 2.5851468175797963, 2.666710647542941), Parent_PIDs = (111, 90), theta = 0.2479642420136946, phi = 2.696174835625924
pid = 22, p = (-0.36883674800612753, 0.2192844336678083, 2.161741303578861, 2.203917347163359), Parent_PIDs = (111, 90), theta = 0.1959500115850646, phi = 2.605205076447667

pid = -11, p = (0.9971554644078997, -1.56244607536418, 15.972830584973838, 16.080014736187778), Parent_PIDs = (-12, 2), theta = 0.11552569263307173, phi = 5.280425251716304
pid = 2112, p = (0.7390287230028135, 0.25733166709905525, 2.9872372200896247, 3.2278105635715266), Parent_PIDs = (1, 2101), theta = 0.2562069597225175, phi = 0.33507260839126085
pid = 22, p = (-0.006405205278605747, 0.05316060512966516, 0.07940469058417082, 0.09577150661434322), Parent_PIDs = (221, 90), theta = 0.5932903167213871, phi = 1.6907061174790394
pid = 13, p = (-0.5685611557862199, 0.5932996479235262, 7.262279875199763, 7.309387066055993), Parent_PIDs = (221, 90), theta = 0.11267336090059596, phi = 2.334905576204893
