Energy,Cross_section_pb,Total_events,pid,momentum,parent_pids,theta,phi
71.264279,0.1914476812678741,997184.0,,,,,
,,,-11,"(-0.2670777804636423, -1.6149424564672743, 23.591542873076666, 23.64826135410072)","(-11, -11)",0.06927308106188079,4.548493301092918
,,,2112,"(0.31901086410739804, 0.00823825340767842, 1.4405987143262227, 1.749271917357654)","(2212, 90)",0.21799688627418093,0.025818627855265678
,,,22,"(-0.08736269930121791, -0.060123901616237554, 1.028324914619344, 1.0337791131579486)","(221, 90)",0.10276795667871322,3.7443621043331765
,,,13,"(-0.038304978442557716, -0.0224798977519231, 0.417022758526159, 0.43248657078016417)","(221, 90)",0.10610298789976352,3.6722989822472876
,,,-13,"(-0.18142199688438493, 0.4100022735899705, 2.992354186201749, 3.027600273579984)","(221, 90)",0.14872480676147828,1.9873875965668697
,,,211,"(0.10136636611939359, 0.09196600110731286, 0.26100715454265266, 0.32609416609680847)","(221, 90)",0.4829644480175364,0.7368136061919258
,,,-211,"(0.20555429493106442, -0.05539535469642565, 0.38870623900333523, 0.46464345322695233)","(221, 90)",0.5010625768550913,6.019946487251431
,,,211,"(0.11157326868836986, 0.34933365174372044, 5.142325372971671, 5.157273758579685)","(223, 90)",0.07119326005285793,1.2616478738819528
,,,-211,"(-0.05598339392329817, 0.6016233324415079, 5.413272494248938, 5.448677239149452)","(223, 90)",0.11115859489171062,1.6635830224305845
,,,22,"(0.06164873215526353, 0.07307129703928383, 0.5898590721092695, 0.5975564455153689)","(111, 90)",0.16068084487491807,0.8699832877534889
,,,22,"(-0.021849279951908638, -0.014234017434016732, 0.025676790593405656, 0.03659639137819947)","(111, 90)",0.7931266782329237,3.7189962993632286
,,,22,"(-0.06120340583365018, 0.13489166966207744, 5.279779710283076, 5.281857193123145)","(111, 90)",0.028048176321341288,1.9967416953111925
,,,22,"(-0.08594999120081917, 0.09804914897432156, 1.8955550417924745, 1.9000341978677322)","(111, 90)",0.0686780160864513,2.2905324211947
,,,,,,,
,,,-11,"(-0.2670777804636423, -1.6149424564672743, 23.591542873076666, 23.64826135410072)","(-11, -11)",0.06927308106188079,4.548493301092918
,,,2112,"(0.31901086410739804, 0.00823825340767842, 1.4405987143262227, 1.749271917357654)","(2212, 90)",0.21799688627418093,0.025818627855265678
,,,22,"(-0.08736269930121791, -0.060123901616237554, 1.028324914619344, 1.0337791131579486)","(221, 90)",0.10276795667871322,3.7443621043331765
,,,13,"(-0.038304978442557716, -0.0224798977519231, 0.417022758526159, 0.43248657078016417)","(221, 90)",0.10610298789976352,3.6722989822472876
,,,-13,"(-0.18142199688438493, 0.4100022735899705, 2.992354186201749, 3.027600273579984)","(221, 90)",0.14872480676147828,1.9873875965668697
,,,211,"(0.10136636611939359, 0.09196600110731286, 0.26100715454265266, 0.32609416609680847)","(221, 90)",0.4829644480175364,0.7368136061919258
,,,-211,"(0.20555429493106442, -0.05539535469642565, 0.38870623900333523, 0.46464345322695233)","(221, 90)",0.5010625768550913,6.019946487251431
,,,211,"(0.11157326868836986, 0.34933365174372044, 5.142325372971671, 5.157273758579685)","(223, 90)",0.07119326005285793,1.2616478738819528
,,,-211,"(-0.05598339392329817, 0.6016233324415079, 5.413272494248938, 5.448677239149452)","(223, 90)",0.11115859489171062,1.6635830224305845
,,,22,"(0.06164873215526353, 0.07307129703928383, 0.5898590721092695, 0.5975564455153689)","(111, 90)",0.16068084487491807,0.8699832877534889
,,,22,"(-0.021849279951908638, -0.014234017434016732, 0.025676790593405656, 0.03659639137819947)","(111, 90)",0.7931266782329237,3.7189962993632286
,,,22,"(-0.06120340583365018, 0.13489166966207744, 5.279779710283076, 5.281857193123145)","(111, 90)",0.028048176321341288,1.9967416953111925
,,,22,"(-0.08594999120081917, 0.09804914897432156, 1.8955550417924745, 1.9000341978677322)","(111, 90)",0.0686780160864513,2.2905324211947
,,,,,,,
,,,-11,"(-0.2670777804636423, -1.6149424564672743, 23.591542873076666, 23.64826135410072)","(-11, -11)",0.06927308106188079,4.548493301092918
,,,2112,"(0.31901086410739804, 0.00823825340767842, 1.4405987143262227, 1.749271917357654)","(2212, 90)",0.21799688627418093,0.025818627855265678
,,,22,"(-0.08736269930121791, -0.060123901616237554, 1.028324914619344, 1.0337791131579486)","(221, 90)",0.10276795667871322,3.7443621043331765
,,,13,"(-0.038304978442557716, -0.0224798977519231, 0.417022758526159, 0.43248657078016417)","(221, 90)",0.10610298789976352,3.6722989822472876
,,,-13,"(-0.18142199688438493, 0.4100022735899705, 2.992354186201749, 3.027600273579984)","(221, 90)",0.14872480676147828,1.9873875965668697
,,,211,"(0.10136636611939359, 0.09196600110731286, 0.26100715454265266, 0.32609416609680847)","(221, 90)",0.4829644480175364,0.7368136061919258
,,,-211,"(0.20555429493106442, -0.05539535469642565, 0.38870623900333523, 0.46464345322695233)","(221, 90)",0.5010625768550913,6.019946487251431
,,,211,"(0.11157326868836986, 0.34933365174372044, 5.142325372971671, 5.157273758579685)","(223, 90)",0.07119326005285793,1.2616478738819528
,,,-211,"(-0.05598339392329817, 0.6016233324415079, 5.413272494248938, 5.448677239149452)","(223, 90)",0.11115859489171062,1.6635830224305845
,,,22,"(0.06164873215526353, 0.07307129703928383, 0.5898590721092695, 0.5975564455153689)","(111, 90)",0.16068084487491807,0.8699832877534889
,,,22,"(-0.021849279951908638, -0.014234017434016732, 0.025676790593405656, 0.03659639137819947)","(111, 90)",0.7931266782329237,3.7189962993632286
,,,22,"(-0.06120340583365018, 0.13489166966207744, 5.279779710283076, 5.281857193123145)","(111, 90)",0.028048176321341288,1.9967416953111925
,,,22,"(-0.08594999120081917, 0.09804914897432156, 1.8955550417924745, 1.9000341978677322)","(111, 90)",0.0686780160864513,2.2905324211947
,,,,,,,
,,,-11,"(-0.2670777804636423, -1.6149424564672743, 23.591542873076666, 23.64826135410072)","(-11, -11)",0.06927308106188079,4.548493301092918
,,,2112,"(0.31901086410739804, 0.00823825340767842, 1.4405987143262227, 1.749271917357654)","(2212, 90)",0.21799688627418093,0.025818627855265678
,,,22,"(-0.08736269930121791, -0.060123901616237554, 1.028324914619344, 1.0337791131579486)","(221, 90)",0.10276795667871322,3.7443621043331765
,,,13,"(-0.038304978442557716, -0.0224798977519231, 0.417022758526159, 0.43248657078016417)","(221, 90)",0.10610298789976352,3.6722989822472876
,,,-13,"(-0.18142199688438493, 0.4100022735899705, 2.992354186201749, 3.027600273579984)","(221, 90)",0.14872480676147828,1.9873875965668697
,,,211,"(0.10136636611939359, 0.09196600110731286, 0.26100715454265266, 0.32609416609680847)","(221, 90)",0.4829644480175364,0.7368136061919258
,,,-211,"(0.20555429493106442, -0.05539535469642565, 0.38870623900333523, 0.46464345322695233)","(221, 90)",0.5010625768550913,6.019946487251431
,,,211,"(0.11157326868836986, 0.34933365174372044, 5.142325372971671, 5.157273758579685)","(223, 90)",0.07119326005285793,1.2616478738819528
,,,-211,"(-0.05598339392329817, 0.6016233324415079, 5.413272494248938, 5.448677239149452)","(223, 90)",0.11115859489171062,1.6635830224305845
,,,22,"(0.06164873215526353, 0.07307129703928383, 0.5898590721092695, 0.5975564455153689)","(111, 90)",0.16068084487491807,0.8699832877534889
,,,22,"(-0.021849279951908638, -0.014234017434016732, 0.025676790593405656, 0.03659639137819947)","(111, 90)",0.7931266782329237,3.7189962993632286
,,,22,"(-0.06120340583365018, 0.13489166966207744, 5.279779710283076, 5.281857193123145)","(111, 90)",0.028048176321341288,1.9967416953111925
,,,22,"(-0.08594999120081917, 0.09804914897432156, 1.8955550417924745, 1.9000341978677322)","(111, 90)",0.0686780160864513,2.2905324211947
,,,,,,,
,,,-11,"(-0.2670777804636423, -1.6149424564672743, 23.591542873076666, 23.64826135410072)","(-11, -11)",0.06927308106188079,4.548493301092918
,,,2112,"(0.31901086410739804, 0.00823825340767842, 1.4405987143262227, 1.749271917357654)","(2212, 90)",0.21799688627418093,0.025818627855265678
,,,22,"(-0.08736269930121791, -0.060123901616237554, 1.028324914619344, 1.0337791131579486)","(221, 90)",0.10276795667871322,3.7443621043331765
,,,13,"(-0.038304978442557716, -0.0224798977519231, 0.417022758526159, 0.43248657078016417)","(221, 90)",0.10610298789976352,3.6722989822472876
,,,-13,"(-0.18142199688438493, 0.4100022735899705, 2.992354186201749, 3.027600273579984)","(221, 90)",0.14872480676147828,1.9873875965668697
,,,211,"(0.10136636611939359, 0.09196600110731286, 0.26100715454265266, 0.32609416609680847)","(221, 90)",0.4829644480175364,0.7368136061919258
,,,-211,"(0.20555429493106442, -0.05539535469642565, 0.38870623900333523, 0.46464345322695233)","(221, 90)",0.5010625768550913,6.019946487251431
,,,211,"(0.11157326868836986, 0.34933365174372044, 5.142325372971671, 5.157273758579685)","(223, 90)",0.07119326005285793,1.2616478738819528
,,,-211,"(-0.05598339392329817, 0.6016233324415079, 5.413272494248938, 5.448677239149452)","(223, 90)",0.11115859489171062,1.6635830224305845
,,,22,"(0.06164873215526353, 0.07307129703928383, 0.5898590721092695, 0.5975564455153689)","(111, 90)",0.16068084487491807,0.8699832877534889
,,,22,"(-0.021849279951908638, -0.014234017434016732, 0.025676790593405656, 0.03659639137819947)","(111, 90)",0.7931266782329237,3.7189962993632286
,,,22,"(-0.06120340583365018, 0.13489166966207744, 5.279779710283076, 5.281857193123145)","(111, 90)",0.028048176321341288,1.9967416953111925
,,,22,"(-0.08594999120081917, 0.09804914897432156, 1.8955550417924745, 1.9000341978677322)","(111, 90)",0.0686780160864513,2.2905324211947
,,,,,,,
,,,-11,"(-0.2670777804636423, -1.6149424564672743, 23.591542873076666, 23.64826135410072)","(-11, -11)",0.06927308106188079,4.548493301092918
,,,2112,"(0.31901086410739804, 0.00823825340767842, 1.4405987143262227, 1.749271917357654)","(2212, 90)",0.21799688627418093,0.025818627855265678
,,,22,"(-0.08736269930121791, -0.060123901616237554, 1.028324914619344, 1.0337791131579486)","(221, 90)",0.10276795667871322,3.7443621043331765
,,,13,"(-0.038304978442557716, -0.0224798977519231, 0.417022758526159, 0.43248657078016417)","(221, 90)",0.10610298789976352,3.6722989822472876
,,,-13,"(-0.18142199688438493, 0.4100022735899705, 2.992354186201749, 3.027600273579984)","(221, 90)",0.14872480676147828,1.9873875965668697
,,,211,"(0.10136636611939359, 0.09196600110731286, 0.26100715454265266, 0.32609416609680847)","(221, 90)",0.4829644480175364,0.7368136061919258
,,,-211,"(0.20555429493106442, -0.05539535469642565, 0.38870623900333523, 0.46464345322695233)","(221, 90)",0.5010625768550913,6.019946487251431
,,,211,"(0.11157326868836986, 0.34933365174372044, 5.142325372971671, 5.157273758579685)","(223, 90)",0.07119326005285793,1.2616478738819528
,,,-211,"(-0.05598339392329817, 0.6016233324415079, 5.413272494248938, 5.448677239149452)","(223, 90)",0.11115859489171062,1.6635830224305845
,,,22,"(0.06164873215526353, 0.07307129703928383, 0.5898590721092695, 0.5975564455153689)","(111, 90)",0.16068084487491807,0.8699832877534889
,,,22,"(-0.021849279951908638, -0.014234017434016732, 0.025676790593405656, 0.03659639137819947)","(111, 90)",0.7931266782329237,3.7189962993632286
,,,22,"(-0.06120340583365018, 0.13489166966207744, 5.279779710283076, 5.281857193123145)","(111, 90)",0.028048176321341288,1.9967416953111925
,,,22,"(-0.08594999120081917, 0.09804914897432156, 1.8955550417924745, 1.9000341978677322)","(111, 90)",0.0686780160864513,2.2905324211947
,,,,,,,
,,,-11,"(-0.2670777804636423, -1.6149424564672743, 23.591542873076666, 23.64826135410072)","(-11, -11)",0.06927308106188079,4.548493301092918
,,,2112,"(0.31901086410739804, 0.00823825340767842, 1.4405987143262227, 1.749271917357654)","(2212, 90)",0.21799688627418093,0.025818627855265678
,,,22,"(-0.08736269930121791, -0.060123901616237554, 1.028324914619344, 1.0337791131579486)","(221, 90)",0.10276795667871322,3.7443621043331765
,,,13,"(-0.038304978442557716, -0.0224798977519231, 0.417022758526159, 0.43248657078016417)","(221, 90)",0.10610298789976352,3.6722989822472876
,,,-13,"(-0.18142199688438493, 0.4100022735899705, 2.992354186201749, 3.027600273579984)","(221, 90)",0.14872480676147828,1.9873875965668697
,,,211,"(0.10136636611939359, 0.09196600110731286, 0.26100715454265266, 0.32609416609680847)","(221, 90)",0.4829644480175364,0.7368136061919258
,,,-211,"(0.20555429493106442, -0.05539535469642565, 0.38870623900333523, 0.46464345322695233)","(221, 90)",0.5010625768550913,6.019946487251431
,,,211,"(0.11157326868836986, 0.34933365174372044, 5.142325372971671, 5.157273758579685)","(223, 90)",0.07119326005285793,1.2616478738819528
,,,-211,"(-0.05598339392329817, 0.6016233324415079, 5.413272494248938, 5.448677239149452)","(223, 90)",0.11115859489171062,1.6635830224305845
,,,22,"(0.06164873215526353, 0.07307129703928383, 0.5898590721092695, 0.5975564455153689)","(111, 90)",0.16068084487491807,0.8699832877534889
,,,22,"(-0.021849279951908638, -0.014234017434016732, 0.025676790593405656, 0.03659639137819947)","(111, 90)",0.7931266782329237,3.7189962993632286
,,,22,"(-0.06120340583365018, 0.13489166966207744, 5.279779710283076, 5.281857193123145)","(111, 90)",0.028048176321341288,1.9967416953111925
,,,22,"(-0.08594999120081917, 0.09804914897432156, 1.8955550417924745, 1.9000341978677322)","(111, 90)",0.0686780160864513,2.2905324211947
,,,,,,,
,,,-11,"(-0.2670777804636423, -1.6149424564672743, 23.591542873076666, 23.64826135410072)","(-11, -11)",0.06927308106188079,4.548493301092918
,,,2112,"(0.31901086410739804, 0.00823825340767842, 1.4405987143262227, 1.749271917357654)","(2212, 90)",0.21799688627418093,0.025818627855265678
,,,22,"(-0.08736269930121791, -0.060123901616237554, 1.028324914619344, 1.0337791131579486)","(221, 90)",0.10276795667871322,3.7443621043331765
,,,13,"(-0.038304978442557716, -0.0224798977519231, 0.417022758526159, 0.43248657078016417)","(221, 90)",0.10610298789976352,3.6722989822472876
,,,-13,"(-0.18142199688438493, 0.4100022735899705, 2.992354186201749, 3.027600273579984)","(221, 90)",0.14872480676147828,1.9873875965668697
,,,211,"(0.10136636611939359, 0.09196600110731286, 0.26100715454265266, 0.32609416609680847)","(221, 90)",0.4829644480175364,0.7368136061919258
,,,-211,"(0.20555429493106442, -0.05539535469642565, 0.38870623900333523, 0.46464345322695233)","(221, 90)",0.5010625768550913,6.019946487251431
,,,211,"(0.11157326868836986, 0.34933365174372044, 5.142325372971671, 5.157273758579685)","(223, 90)",0.07119326005285793,1.2616478738819528
,,,-211,"(-0.05598339392329817, 0.6016233324415079, 5.413272494248938, 5.448677239149452)","(223, 90)",0.11115859489171062,1.6635830224305845
,,,22,"(0.06164873215526353, 0.07307129703928383, 0.5898590721092695, 0.5975564455153689)","(111, 90)",0.16068084487491807,0.8699832877534889
