Events for energy 566.072289 GeV:
Cross section pb: 1.7576457505543872
Total number of events: 999808

pid = -11, p = (-1.1478776444247256, -0.681123846814121, 108.146214322234, 108.15445078808804), Parent_PIDs = (-12, -3), theta = 0.012341443950664456, phi = 3.677127845713659
pid = 211, p = (0.2886596949380693, 0.7429810285324052, 15.4084121115471, 15.42964642538552), Parent_PIDs = (213, 90), theta = 0.0516844681389703, phi = 1.2002293592133138
pid = 2212, p = (-1.1035588470301103, -1.2015375648828475, 7.986681236799739, 8.205422744736072), Parent_PIDs = (3122, 90), theta = 0.20149573490562497, phi = 3.9694705047248586
pid = -211, p = (-0.22053510922241276, -0.08279935129980229, 1.1544035425113492, 1.186431115083452), Parent_PIDs = (3122, 90), theta = 0.20129524441182653, phi = 3.5007555785214697
pid = 13, p = (0.25235127289028236, 0.3046449066986636, 13.994788213570974, 14.000776794964336), Parent_PIDs = (-411, 90), theta = 0.02825926731692933, phi = 0.8790088512022517
pid = -14, p = (0.8386839947768832, -0.09267413040643052, 29.40306771799882, 29.415172455159354), Parent_PIDs = (-411, 90), theta = 0.028689427009355235, phi = 6.173132316240725
pid = 22, p = (0.24744677506200205, 0.015573345451915181, 5.722825905175061, 5.728194198569031), Parent_PIDs = (111, 90), theta = 0.04329703693585437, phi = 0.06285324344065177
pid = 22, p = (0.08541101778138224, 0.07077036771245285, 4.319970216417426, 4.321394006294523), Parent_PIDs = (111, 90), theta = 0.025670713540632294, phi = 0.6919299813323645
pid = 13, p = (0.761946705633328, 0.6059551342619177, 12.625186596645639, 12.663105663409924), Parent_PIDs = (223, 90), theta = 0.07695720140775893, phi = 0.6718515630807452
pid = -13, p = (-0.002527860404699378, 0.31821011074584665, 11.223344152169494, 11.228351707098255), Parent_PIDs = (223, 90), theta = 0.02834582223681621, phi = 1.57874015744652

pid = -11, p = (-1.1478776444247256, -0.681123846814121, 108.146214322234, 108.15445078808804), Parent_PIDs = (-12, -3), theta = 0.012341443950664456, phi = 3.677127845713659
pid = 211, p = (0.2886596949380693, 0.7429810285324052, 15.4084121115471, 15.42964642538552), Parent_PIDs = (213, 90), theta = 0.0516844681389703, phi = 1.2002293592133138
pid = 2212, p = (-1.1035588470301103, -1.2015375648828475, 7.986681236799739, 8.205422744736072), Parent_PIDs = (3122, 90), theta = 0.20149573490562497, phi = 3.9694705047248586
pid = -211, p = (-0.22053510922241276, -0.08279935129980229, 1.1544035425113492, 1.186431115083452), Parent_PIDs = (3122, 90), theta = 0.20129524441182653, phi = 3.5007555785214697
pid = 13, p = (0.25235127289028236, 0.3046449066986636, 13.994788213570974, 14.000776794964336), Parent_PIDs = (-411, 90), theta = 0.02825926731692933, phi = 0.8790088512022517
pid = -14, p = (0.8386839947768832, -0.09267413040643052, 29.40306771799882, 29.415172455159354), Parent_PIDs = (-411, 90), theta = 0.028689427009355235, phi = 6.173132316240725
pid = 22, p = (0.24744677506200205, 0.015573345451915181, 5.722825905175061, 5.728194198569031), Parent_PIDs = (111, 90), theta = 0.04329703693585437, phi = 0.06285324344065177
pid = 22, p = (0.08541101778138224, 0.07077036771245285, 4.319970216417426, 4.321394006294523), Parent_PIDs = (111, 90), theta = 0.025670713540632294, phi = 0.6919299813323645
pid = 13, p = (0.761946705633328, 0.6059551342619177, 12.625186596645639, 12.663105663409924), Parent_PIDs = (223, 90), theta = 0.07695720140775893, phi = 0.6718515630807452
pid = -13, p = (-0.002527860404699378, 0.31821011074584665, 11.223344152169494, 11.228351707098255), Parent_PIDs = (223, 90), theta = 0.02834582223681621, phi = 1.57874015744652

pid = -11, p = (-1.1478776444247256, -0.681123846814121, 108.146214322234, 108.15445078808804), Parent_PIDs = (-12, -3), theta = 0.012341443950664456, phi = 3.677127845713659
pid = 211, p = (0.2886596949380693, 0.7429810285324052, 15.4084121115471, 15.42964642538552), Parent_PIDs = (213, 90), theta = 0.0516844681389703, phi = 1.2002293592133138
pid = 2212, p = (-1.1035588470301103, -1.2015375648828475, 7.986681236799739, 8.205422744736072), Parent_PIDs = (3122, 90), theta = 0.20149573490562497, phi = 3.9694705047248586
pid = -211, p = (-0.22053510922241276, -0.08279935129980229, 1.1544035425113492, 1.186431115083452), Parent_PIDs = (3122, 90), theta = 0.20129524441182653, phi = 3.5007555785214697
pid = 13, p = (0.25235127289028236, 0.3046449066986636, 13.994788213570974, 14.000776794964336), Parent_PIDs = (-411, 90), theta = 0.02825926731692933, phi = 0.8790088512022517
pid = -14, p = (0.8386839947768832, -0.09267413040643052, 29.40306771799882, 29.415172455159354), Parent_PIDs = (-411, 90), theta = 0.028689427009355235, phi = 6.173132316240725
pid = 22, p = (0.24744677506200205, 0.015573345451915181, 5.722825905175061, 5.728194198569031), Parent_PIDs = (111, 90), theta = 0.04329703693585437, phi = 0.06285324344065177
pid = 22, p = (0.08541101778138224, 0.07077036771245285, 4.319970216417426, 4.321394006294523), Parent_PIDs = (111, 90), theta = 0.025670713540632294, phi = 0.6919299813323645
pid = 13, p = (0.761946705633328, 0.6059551342619177, 12.625186596645639, 12.663105663409924), Parent_PIDs = (223, 90), theta = 0.07695720140775893, phi = 0.6718515630807452
pid = -13, p = (-0.002527860404699378, 0.31821011074584665, 11.223344152169494, 11.228351707098255), Parent_PIDs = (223, 90), theta = 0.02834582223681621, phi = 1.57874015744652

pid = -11, p = (-1.1478776444247256, -0.681123846814121, 108.146214322234, 108.15445078808804), Parent_PIDs = (-12, -3), theta = 0.012341443950664456, phi = 3.677127845713659
pid = 211, p = (0.2886596949380693, 0.7429810285324052, 15.4084121115471, 15.42964642538552), Parent_PIDs = (213, 90), theta = 0.0516844681389703, phi = 1.2002293592133138
pid = 2212, p = (-1.1035588470301103, -1.2015375648828475, 7.986681236799739, 8.205422744736072), Parent_PIDs = (3122, 90), theta = 0.20149573490562497, phi = 3.9694705047248586
pid = -211, p = (-0.22053510922241276, -0.08279935129980229, 1.1544035425113492, 1.186431115083452), Parent_PIDs = (3122, 90), theta = 0.20129524441182653, phi = 3.5007555785214697
pid = 13, p = (0.25235127289028236, 0.3046449066986636, 13.994788213570974, 14.000776794964336), Parent_PIDs = (-411, 90), theta = 0.02825926731692933, phi = 0.8790088512022517
pid = -14, p = (0.8386839947768832, -0.09267413040643052, 29.40306771799882, 29.415172455159354), Parent_PIDs = (-411, 90), theta = 0.028689427009355235, phi = 6.173132316240725
pid = 22, p = (0.24744677506200205, 0.015573345451915181, 5.722825905175061, 5.728194198569031), Parent_PIDs = (111, 90), theta = 0.04329703693585437, phi = 0.06285324344065177
pid = 22, p = (0.08541101778138224, 0.07077036771245285, 4.319970216417426, 4.321394006294523), Parent_PIDs = (111, 90), theta = 0.025670713540632294, phi = 0.6919299813323645
pid = 13, p = (0.761946705633328, 0.6059551342619177, 12.625186596645639, 12.663105663409924), Parent_PIDs = (223, 90), theta = 0.07695720140775893, phi = 0.6718515630807452
