Events for energy 1129.462706 GeV:
Cross section pb: 3.54731621355309
Total number of events: 999840

pid = 14, p = (0.8972990992648696, 0.4757577351025603, 49.573162351261075, 49.58356498478642), Parent_PIDs = (421, 90), theta = 0.02048449992154249, phi = 0.48752319073267186
pid = -321, p = (1.0109044789172266, -0.07456198511782651, 28.689858033615103, 28.71200378389687), Parent_PIDs = (421, 90), theta = 0.035316628026568084, phi = 6.209560928557106
pid = -321, p = (0.4548249545125467, -0.3292876415116136, 6.90161789408739, 6.941998673904144), Parent_PIDs = (-313, 90), theta = 0.08118071404098652, phi = 5.656541010517406
pid = 211, p = (0.2605889936013005, 0.40868427686904973, 8.401425074305491, 8.416552294485857), Parent_PIDs = (-313, 90), theta = 0.05762814574728135, phi = 1.003166902773636
pid = 22, p = (-0.03399540352474563, 0.2727736699856357, 3.4902341224142814, 3.5010420437011653), Parent_PIDs = (111, 90), theta = 0.07859577649006884, phi = 1.6947856290199146
pid = 22, p = (0.0067173932924307475, -0.014447654130629123, 0.33413459575382365, 0.334514254049203), Parent_PIDs = (111, 90), theta = 0.047648059053567525, phi = 5.147603066209492

pid = -11, p = (-7.329944021969958, -6.785377260639597, 594.1215876805177, 594.2055455582813), Parent_PIDs = (-11, 90), theta = 0.016810571834040198, phi = 3.888430106035401
pid = 22, p = (-3.82195248588838e-06, -1.7375202136190597e-05, 0.0009114822556547869, 0.0009116558601487822), Parent_PIDs = (22, 22), theta = 0.019515824660410894, phi = 4.495871173379818
pid = -211, p = (0.9205713503692995, 1.480914240580642, 49.113755016524465, 49.1448977026828), Parent_PIDs = (1, -4), theta = 0.0354887882686715, phi = 1.0146286166850176
pid = 321, p = (2.4134219317749293, 2.902151327458379, 70.61309745878513, 70.7156300998197), Parent_PIDs = (1, -4), theta = 0.05340287793216179, phi = 0.8770833225786082
pid = -211, p = (-0.2858571204400882, 0.12663213220623168, 1.8944076373424525, 1.9251000159822393), Parent_PIDs = (4, 2103), theta = 0.16356397154245433, phi = 2.7245826778424727
pid = 2212, p = (0.5408040812177526, 0.30136628857504494, 19.40935448605228, 19.441879612123135), Parent_PIDs = (2224, 90), theta = 0.03188642438836135, phi = 0.5083969195033834
pid = 211, p = (-0.02127618782836396, -0.0045658516506945235, 0.8335590326849498, 0.845443060791484), Parent_PIDs = (2224, 90), theta = 0.026099706668037684, phi = 3.352985634931505
pid = -211, p = (0.5447325955607665, 0.679459832121353, 1.6316213506151407, 1.854741836702866), Parent_PIDs = (-213, 90), theta = 0.49027371011998305, phi = 0.8950110145079584
pid = 22, p = (0.09900240898199572, 0.20733352063869748, 3.2492433258658657, 3.2573564214633546), Parent_PIDs = (-433, 90), theta = 0.07059368231101686, phi = 1.1253076277311305
pid = 211, p = (0.18299271129275144, 0.0035559797752808472, 8.337862916546575, 8.341039310385787), Parent_PIDs = (413, 90), theta = 0.021947814563172786, phi = 0.019429912003872975
pid = 22, p = (-0.13211169457333988, 0.012184560622669125, 0.37555968334372064, 0.3983052084944943), Parent_PIDs = (111, 90), theta = 0.3395812481806993, phi = 3.0496235989960097
pid = 22, p = (-0.3315942252071783, 0.09195833483316933, 1.8071597475373333, 1.8396296960679985), Parent_PIDs = (111, 90), theta = 0.18816179769153044, phi = 2.87106909081005
pid = -211, p = (0.9702807126910553, 0.4464889208368952, 15.99022128611394, 16.02646104358794), Parent_PIDs = (-431, 90), theta = 0.06669681021652858, phi = 0.4312746577651035
pid = -13, p = (-0.167358235980106, -0.20100305135303423, 6.602388017478489, 6.608411501620275), Parent_PIDs = (421, 90), theta = 0.03959450422878681, phi = 4.018074552245167
pid = 14, p = (0.8972990992648696, 0.4757577351025603, 49.573162351261075, 49.58356498478642), Parent_PIDs = (421, 90), theta = 0.02048449992154249, phi = 0.48752319073267186
pid = -321, p = (1.0109044789172266, -0.07456198511782651, 28.689858033615103, 28.71200378389687), Parent_PIDs = (421, 90), theta = 0.035316628026568084, phi = 6.209560928557106
