Events for energy 71.264279 GeV:
Cross section pb: 0.1914476812678741
Total number of events: 997184

pid = 211, p = (0.2607364473494586, -0.3902299635964915, 0.7474952387124567, 0.8935837041165919), Parent_PIDs = (1, 2101), theta = 0.5606527303729293, phi = 5.30142541722958
pid = -211, p = (-0.81050388458932, -0.09535297529049075, 9.802074168392892, 9.836978526173892), Parent_PIDs = (-213, 90), theta = 0.08306565696863921, phi = 3.2587008835099165
pid = 211, p = (0.12813594710712595, -0.11434294143881199, 4.077534013542291, 4.083534810148215), Parent_PIDs = (113, 90), theta = 0.042092646788567646, phi = 5.554609235930279
pid = -211, p = (-0.6329865353017239, -0.5053068732994845, 4.93381555325156, 5.001801944148126), Parent_PIDs = (113, 90), theta = 0.1627102366225062, phi = 3.8152900929966003
pid = 13, p = (-0.23738584020963432, -0.14109216893041318, 0.9623891456554556, 1.0067849524803991), Parent_PIDs = (223, 90), theta = 0.2794348488774818, phi = 3.6778532831427033
pid = -13, p = (-0.08162152817761154, 0.0937639768334129, 1.3143081978605973, 1.3243956477492809), Parent_PIDs = (223, 90), theta = 0.09430391459013693, phi = 2.2870718800811978
pid = 2212, p = (0.18756586986642998, -0.16821729611973302, 4.522138852670073, 4.625318195538637), Parent_PIDs = (3122, 90), theta = 0.055656899843728576, phi = 5.552116675919349
pid = -211, p = (-0.06027666203383099, -0.01485640323525241, 0.4460556105901865, 0.47148635329351063), Parent_PIDs = (3122, 90), theta = 0.13828827545078892, phi = 3.383246438566476
pid = 22, p = (-0.024854637941856213, -0.08064596865427726, 0.17967726761611602, 0.19850804967406424), Parent_PIDs = (111, 90), theta = 0.43909105239043494, phi = 4.413431422569267
pid = 22, p = (-0.25116820124493194, -0.20907238428908476, 1.2767902378408065, 1.317949179078814), Parent_PIDs = (111, 90), theta = 0.25057314565193944, phi = 3.835779795066397
pid = 22, p = (-0.0505582973721806, 0.03601210174312421, 0.03827098739721383, 0.07292243400688629), Parent_PIDs = (111, 90), theta = 1.0182953391710556, phi = 2.5226667927397837
pid = 22, p = (-0.007499492070718268, -0.08573597644543096, -0.0031676875913339356, 0.08612162494429934), Parent_PIDs = (111, 90), theta = 1.6075861839344563, phi = 4.625139115652516
pid = 211, p = (-0.32612718946520225, -0.1074257297201278, 0.9259181589875336, 0.9973482105850681), Parent_PIDs = (310, 90), theta = 0.35511580028157647, phi = 3.4597974736953496
pid = -211, p = (-0.017583768498584756, -0.05774170099366485, 1.5218751315236978, 1.5294531682266461), Parent_PIDs = (310, 90), theta = 0.03964062217887483, phi = 4.416786361731557
pid = 22, p = (-0.012074025530345582, 0.012668082280397883, 0.06969619857709854, 0.07185974183970244), Parent_PIDs = (111, 90), theta = 0.24600881458270926, phi = 2.332189153194295
pid = 22, p = (-0.4858415818444847, -0.03485688521898537, 6.069718234649665, 6.089231190645906), Parent_PIDs = (111, 90), theta = 0.08007765408439745, phi = 3.213215304117693

pid = -11, p = (2.42204337995741, 1.862433106375313, 29.85073715588846, 30.00669025769385), Parent_PIDs = (-12, 2), theta = 0.10199789942823473, phi = 0.6555199475472343
pid = 211, p = (0.2607364473494586, -0.3902299635964915, 0.7474952387124567, 0.8935837041165919), Parent_PIDs = (1, 2101), theta = 0.5606527303729293, phi = 5.30142541722958
pid = -211, p = (-0.81050388458932, -0.09535297529049075, 9.802074168392892, 9.836978526173892), Parent_PIDs = (-213, 90), theta = 0.08306565696863921, phi = 3.2587008835099165
pid = 211, p = (0.12813594710712595, -0.11434294143881199, 4.077534013542291, 4.083534810148215), Parent_PIDs = (113, 90), theta = 0.042092646788567646, phi = 5.554609235930279
pid = -211, p = (-0.6329865353017239, -0.5053068732994845, 4.93381555325156, 5.001801944148126), Parent_PIDs = (113, 90), theta = 0.1627102366225062, phi = 3.8152900929966003
pid = 13, p = (-0.23738584020963432, -0.14109216893041318, 0.9623891456554556, 1.0067849524803991), Parent_PIDs = (223, 90), theta = 0.2794348488774818, phi = 3.6778532831427033
pid = -13, p = (-0.08162152817761154, 0.0937639768334129, 1.3143081978605973, 1.3243956477492809), Parent_PIDs = (223, 90), theta = 0.09430391459013693, phi = 2.2870718800811978
pid = 2212, p = (0.18756586986642998, -0.16821729611973302, 4.522138852670073, 4.625318195538637), Parent_PIDs = (3122, 90), theta = 0.055656899843728576, phi = 5.552116675919349
pid = -211, p = (-0.06027666203383099, -0.01485640323525241, 0.4460556105901865, 0.47148635329351063), Parent_PIDs = (3122, 90), theta = 0.13828827545078892, phi = 3.383246438566476
pid = 22, p = (-0.024854637941856213, -0.08064596865427726, 0.17967726761611602, 0.19850804967406424), Parent_PIDs = (111, 90), theta = 0.43909105239043494, phi = 4.413431422569267
pid = 22, p = (-0.25116820124493194, -0.20907238428908476, 1.2767902378408065, 1.317949179078814), Parent_PIDs = (111, 90), theta = 0.25057314565193944, phi = 3.835779795066397
pid = 22, p = (-0.0505582973721806, 0.03601210174312421, 0.03827098739721383, 0.07292243400688629), Parent_PIDs = (111, 90), theta = 1.0182953391710556, phi = 2.5226667927397837
pid = 22, p = (-0.007499492070718268, -0.08573597644543096, -0.0031676875913339356, 0.08612162494429934), Parent_PIDs = (111, 90), theta = 1.6075861839344563, phi = 4.625139115652516
pid = 211, p = (-0.32612718946520225, -0.1074257297201278, 0.9259181589875336, 0.9973482105850681), Parent_PIDs = (310, 90), theta = 0.35511580028157647, phi = 3.4597974736953496
pid = -211, p = (-0.017583768498584756, -0.05774170099366485, 1.5218751315236978, 1.5294531682266461), Parent_PIDs = (310, 90), theta = 0.03964062217887483, phi = 4.416786361731557
pid = 22, p = (-0.012074025530345582, 0.012668082280397883, 0.06969619857709854, 0.07185974183970244), Parent_PIDs = (111, 90), theta = 0.24600881458270926, phi = 2.332189153194295
pid = 22, p = (-0.4858415818444847, -0.03485688521898537, 6.069718234649665, 6.089231190645906), Parent_PIDs = (111, 90), theta = 0.08007765408439745, phi = 3.213215304117693

pid = -11, p = (2.42204337995741, 1.862433106375313, 29.85073715588846, 30.00669025769385), Parent_PIDs = (-12, 2), theta = 0.10199789942823473, phi = 0.6555199475472343
pid = 211, p = (0.2607364473494586, -0.3902299635964915, 0.7474952387124567, 0.8935837041165919), Parent_PIDs = (1, 2101), theta = 0.5606527303729293, phi = 5.30142541722958
pid = -211, p = (-0.81050388458932, -0.09535297529049075, 9.802074168392892, 9.836978526173892), Parent_PIDs = (-213, 90), theta = 0.08306565696863921, phi = 3.2587008835099165
pid = 211, p = (0.12813594710712595, -0.11434294143881199, 4.077534013542291, 4.083534810148215), Parent_PIDs = (113, 90), theta = 0.042092646788567646, phi = 5.554609235930279
pid = -211, p = (-0.6329865353017239, -0.5053068732994845, 4.93381555325156, 5.001801944148126), Parent_PIDs = (113, 90), theta = 0.1627102366225062, phi = 3.8152900929966003
pid = 13, p = (-0.23738584020963432, -0.14109216893041318, 0.9623891456554556, 1.0067849524803991), Parent_PIDs = (223, 90), theta = 0.2794348488774818, phi = 3.6778532831427033
pid = -13, p = (-0.08162152817761154, 0.0937639768334129, 1.3143081978605973, 1.3243956477492809), Parent_PIDs = (223, 90), theta = 0.09430391459013693, phi = 2.2870718800811978
pid = 2212, p = (0.18756586986642998, -0.16821729611973302, 4.522138852670073, 4.625318195538637), Parent_PIDs = (3122, 90), theta = 0.055656899843728576, phi = 5.552116675919349
pid = -211, p = (-0.06027666203383099, -0.01485640323525241, 0.4460556105901865, 0.47148635329351063), Parent_PIDs = (3122, 90), theta = 0.13828827545078892, phi = 3.383246438566476
pid = 22, p = (-0.024854637941856213, -0.08064596865427726, 0.17967726761611602, 0.19850804967406424), Parent_PIDs = (111, 90), theta = 0.43909105239043494, phi = 4.413431422569267
pid = 22, p = (-0.25116820124493194, -0.20907238428908476, 1.2767902378408065, 1.317949179078814), Parent_PIDs = (111, 90), theta = 0.25057314565193944, phi = 3.835779795066397
pid = 22, p = (-0.0505582973721806, 0.03601210174312421, 0.03827098739721383, 0.07292243400688629), Parent_PIDs = (111, 90), theta = 1.0182953391710556, phi = 2.5226667927397837
pid = 22, p = (-0.007499492070718268, -0.08573597644543096, -0.0031676875913339356, 0.08612162494429934), Parent_PIDs = (111, 90), theta = 1.6075861839344563, phi = 4.625139115652516
pid = 211, p = (-0.32612718946520225, -0.1074257297201278, 0.9259181589875336, 0.9973482105850681), Parent_PIDs = (310, 90), theta = 0.35511580028157647, phi = 3.4597974736953496
pid = -211, p = (-0.017583768498584756, -0.05774170099366485, 1.5218751315236978, 1.5294531682266461), Parent_PIDs = (310, 90), theta = 0.03964062217887483, phi = 4.416786361731557
pid = 22, p = (-0.012074025530345582, 0.012668082280397883, 0.06969619857709854, 0.07185974183970244), Parent_PIDs = (111, 90), theta = 0.24600881458270926, phi = 2.332189153194295
pid = 22, p = (-0.4858415818444847, -0.03485688521898537, 6.069718234649665, 6.089231190645906), Parent_PIDs = (111, 90), theta = 0.08007765408439745, phi = 3.213215304117693

pid = -11, p = (2.42204337995741, 1.862433106375313, 29.85073715588846, 30.00669025769385), Parent_PIDs = (-12, 2), theta = 0.10199789942823473, phi = 0.6555199475472343
