Events for energy 7126.427896 GeV:
Cross section pb: 21.798817686796713
Total number of events: 999992

pid = -11, p = (3.67484439351441, 5.320684413349122, 2054.8755790700084, 2054.885753423412), Parent_PIDs = (-11, -11), theta = 0.0031468405978699876, phi = 0.9663586643062569
pid = -13, p = (0.6081992309749673, 1.2485942250231692, 405.64582524146334, 405.64821655432775), Parent_PIDs = (-13, -13), theta = 0.0034237768865524884, phi = 1.1175160576841214
pid = 13, p = (0.15383805492135508, 0.36165310071526835, 100.34447407278974, 100.34529934228495), Parent_PIDs = (13, 13), theta = 0.003916616828934133, phi = 1.16860840479113
pid = 2112, p = (0.9047444072920199, -0.4677270114980674, 2.329422591727557, 2.7104118498046748), Parent_PIDs = (2212, 90), theta = 0.41218417001016094, phi = 5.806052918244909
pid = 211, p = (0.11809229095132526, -0.9718002576740782, 71.5128522287743, 71.51968858439895), Parent_PIDs = (2, -4), theta = 0.013688281532292249, phi = 4.833315169942528
pid = 211, p = (-0.04557382346311373, -1.3792163587996233, 110.08816758073712, 110.0969047512559), Parent_PIDs = (4, -2), theta = 0.012534470023195623, phi = 4.679357725123911
pid = -211, p = (-0.8993508653949396, -1.0466283736144917, 78.3722384381227, 78.38451059053945), Parent_PIDs = (-213, 90), theta = 0.017605822959811203, phi = 4.002529789928456
pid = 211, p = (-2.0747364146840024, -1.3039541676958935, 211.0361425092819, 211.05041519183212), Parent_PIDs = (113, 90), theta = 0.011611114732128985, phi = 3.7026987599041523
pid = -211, p = (-0.6598720966592206, -0.4963237932222702, 43.853727631124336, 43.86172221221377), Parent_PIDs = (113, 90), theta = 0.018826111910742637, phi = 3.786469306690438
pid = -211, p = (-0.019877911703272327, -0.3969747776869218, 35.97630141159099, 35.97876772692523), Parent_PIDs = (-411, 90), theta = 0.01104771635245725, phi = 4.662357280353053
pid = 321, p = (0.5219968259033361, 0.007416279058652109, 104.93100062920435, 104.93346057705298), Parent_PIDs = (421, 90), theta = 0.004975128382718752, phi = 0.014206561707500585
pid = -321, p = (0.7626090082969832, 0.1336918556380965, 53.021534866019664, 53.029485435017556), Parent_PIDs = (421, 90), theta = 0.014601311860186574, phi = 0.17354500189455982
pid = 211, p = (-0.06079076316071627, -0.13991558327555878, 22.444730304456566, 22.44568266085975), Parent_PIDs = (223, 90), theta = 0.006796647152083284, phi = 4.302514721032775
pid = -211, p = (-0.29290782981783203, 0.12677261596382955, 13.710301866546038, 13.714726513847905), Parent_PIDs = (223, 90), theta = 0.02327500597554119, phi = 2.733127870623342
pid = 22, p = (-0.16880186885428028, -0.050378589450669455, 11.256545952126151, 11.257924268955238), Parent_PIDs = (111, 90), theta = 0.015648214723902883, phi = 3.4316250379129962
pid = 22, p = (-1.1172972174500047, -0.508537311793393, 101.25072287606373, 101.25816434340031), Parent_PIDs = (111, 90), theta = 0.012123609028443401, phi = 3.568720676879494
pid = 22, p = (-0.18691964694977403, -0.09128311546182027, 12.933126781902462, 12.934799570087925), Parent_PIDs = (111, 90), theta = 0.016082749695431227, phi = 3.5958808147998766
pid = 22, p = (-0.5102433536132299, -0.03935980841768716, 37.878461894502635, 37.88191881317144), Parent_PIDs = (111, 90), theta = 0.01350973707835476, phi = 3.2185794794064413
pid = 22, p = (-0.004301784565339736, 0.005523201696937624, 1.5924004110745504, 1.5924158000653679), Parent_PIDs = (111, 90), theta = 0.004396349178752659, phi = 2.2325116119423174
pid = 22, p = (0.1793145849184378, -0.18310383559140647, 7.245287550354847, 7.249818785480066), Parent_PIDs = (111, 90), theta = 0.03535756463430305, phi = 5.487332066469334
pid = 22, p = (-0.19082758749856865, -0.027294405613070047, 8.830874500091102, 8.832978240043818), Parent_PIDs = (111, 90), theta = 0.021825593636819674, phi = 3.2836608283807
pid = 22, p = (-0.3681000272604911, 0.050377388302954004, 25.862167578882975, 25.864836117585345), Parent_PIDs = (111, 90), theta = 0.014364834251472227, phi = 3.005579753628209
pid = 22, p = (0.009198772307192737, 0.0052739148016205765, 15.0438767489239, 15.04388048571253), Parent_PIDs = (111, 90), theta = 0.000704829927622017, phi = 0.5205769072980385
pid = 22, p = (-0.03253383065546921, -0.02944126321349864, 1.6740704801992918, 1.6746453985221499), Parent_PIDs = (111, 90), theta = 0.02620408913770043, phi = 3.8771320072804003
pid = 22, p = (0.005837961115392954, 0.0017900994053387347, 0.6824482289626341, 0.6824755464191414), Parent_PIDs = (111, 90), theta = 0.008947321215912594, phi = 0.29752905329567186
pid = 22, p = (-0.5819408369813032, -0.08116695989296051, 179.8105685205975, 179.8115285372815), Parent_PIDs = (111, 90), theta = 0.003267727364229453, phi = 3.2801749340329227
pid = 22, p = (0.19004344382070484, 0.02722784888119628, 13.932095973963165, 13.933418679348387), Parent_PIDs = (111, 90), theta = 0.01377910948012171, phi = 0.14230330531159208
pid = 22, p = (0.07425794276285876, 0.10976292532147242, 7.525758303713222, 7.526925015419448), Parent_PIDs = (111, 90), theta = 0.017607333519036147, phi = 0.9759961176977391
pid = 22, p = (0.03287526845416377, -0.007446910085733663, 0.5875586399315172, 0.5885247616744194), Parent_PIDs = (111, 90), theta = 0.057307041076410555, phi = 6.060424455049518
pid = 22, p = (-0.021776326525392523, -0.17821534517051427, 8.967138928747747, 8.968936140095687), Parent_PIDs = (111, 90), theta = 0.020019413976545306, phi = 4.590800635422027

pid = -11, p = (3.67484439351441, 5.320684413349122, 2054.8755790700084, 2054.885753423412), Parent_PIDs = (-11, -11), theta = 0.0031468405978699876, phi = 0.9663586643062569
pid = -13, p = (0.6081992309749673, 1.2485942250231692, 405.64582524146334, 405.64821655432775), Parent_PIDs = (-13, -13), theta = 0.0034237768865524884, phi = 1.1175160576841214
pid = 13, p = (0.15383805492135508, 0.36165310071526835, 100.34447407278974, 100.34529934228495), Parent_PIDs = (13, 13), theta = 0.003916616828934133, phi = 1.16860840479113
pid = 2112, p = (0.9047444072920199, -0.4677270114980674, 2.329422591727557, 2.7104118498046748), Parent_PIDs = (2212, 90), theta = 0.41218417001016094, phi = 5.806052918244909
pid = 211, p = (0.11809229095132526, -0.9718002576740782, 71.5128522287743, 71.51968858439895), Parent_PIDs = (2, -4), theta = 0.013688281532292249, phi = 4.833315169942528
pid = 211, p = (-0.04557382346311373, -1.3792163587996233, 110.08816758073712, 110.0969047512559), Parent_PIDs = (4, -2), theta = 0.012534470023195623, phi = 4.679357725123911
pid = -211, p = (-0.8993508653949396, -1.0466283736144917, 78.3722384381227, 78.38451059053945), Parent_PIDs = (-213, 90), theta = 0.017605822959811203, phi = 4.002529789928456
pid = 211, p = (-2.0747364146840024, -1.3039541676958935, 211.0361425092819, 211.05041519183212), Parent_PIDs = (113, 90), theta = 0.011611114732128985, phi = 3.7026987599041523
pid = -211, p = (-0.6598720966592206, -0.4963237932222702, 43.853727631124336, 43.86172221221377), Parent_PIDs = (113, 90), theta = 0.018826111910742637, phi = 3.786469306690438
pid = -211, p = (-0.019877911703272327, -0.3969747776869218, 35.97630141159099, 35.97876772692523), Parent_PIDs = (-411, 90), theta = 0.01104771635245725, phi = 4.662357280353053
pid = 321, p = (0.5219968259033361, 0.007416279058652109, 104.93100062920435, 104.93346057705298), Parent_PIDs = (421, 90), theta = 0.004975128382718752, phi = 0.014206561707500585
pid = -321, p = (0.7626090082969832, 0.1336918556380965, 53.021534866019664, 53.029485435017556), Parent_PIDs = (421, 90), theta = 0.014601311860186574, phi = 0.17354500189455982
pid = 211, p = (-0.06079076316071627, -0.13991558327555878, 22.444730304456566, 22.44568266085975), Parent_PIDs = (223, 90), theta = 0.006796647152083284, phi = 4.302514721032775
pid = -211, p = (-0.29290782981783203, 0.12677261596382955, 13.710301866546038, 13.714726513847905), Parent_PIDs = (223, 90), theta = 0.02327500597554119, phi = 2.733127870623342
pid = 22, p = (-0.16880186885428028, -0.050378589450669455, 11.256545952126151, 11.257924268955238), Parent_PIDs = (111, 90), theta = 0.015648214723902883, phi = 3.4316250379129962
pid = 22, p = (-1.1172972174500047, -0.508537311793393, 101.25072287606373, 101.25816434340031), Parent_PIDs = (111, 90), theta = 0.012123609028443401, phi = 3.568720676879494
pid = 22, p = (-0.18691964694977403, -0.09128311546182027, 12.933126781902462, 12.934799570087925), Parent_PIDs = (111, 90), theta = 0.016082749695431227, phi = 3.5958808147998766
pid = 22, p = (-0.5102433536132299, -0.03935980841768716, 37.878461894502635, 37.88191881317144), Parent_PIDs = (111, 90), theta = 0.01350973707835476, phi = 3.2185794794064413
pid = 22, p = (-0.004301784565339736, 0.005523201696937624, 1.5924004110745504, 1.5924158000653679), Parent_PIDs = (111, 90), theta = 0.004396349178752659, phi = 2.2325116119423174
pid = 22, p = (0.1793145849184378, -0.18310383559140647, 7.245287550354847, 7.249818785480066), Parent_PIDs = (111, 90), theta = 0.03535756463430305, phi = 5.487332066469334
pid = 22, p = (-0.19082758749856865, -0.027294405613070047, 8.830874500091102, 8.832978240043818), Parent_PIDs = (111, 90), theta = 0.021825593636819674, phi = 3.2836608283807
pid = 22, p = (-0.3681000272604911, 0.050377388302954004, 25.862167578882975, 25.864836117585345), Parent_PIDs = (111, 90), theta = 0.014364834251472227, phi = 3.005579753628209
pid = 22, p = (0.009198772307192737, 0.0052739148016205765, 15.0438767489239, 15.04388048571253), Parent_PIDs = (111, 90), theta = 0.000704829927622017, phi = 0.5205769072980385
pid = 22, p = (-0.03253383065546921, -0.02944126321349864, 1.6740704801992918, 1.6746453985221499), Parent_PIDs = (111, 90), theta = 0.02620408913770043, phi = 3.8771320072804003
pid = 22, p = (0.005837961115392954, 0.0017900994053387347, 0.6824482289626341, 0.6824755464191414), Parent_PIDs = (111, 90), theta = 0.008947321215912594, phi = 0.29752905329567186
pid = 22, p = (-0.5819408369813032, -0.08116695989296051, 179.8105685205975, 179.8115285372815), Parent_PIDs = (111, 90), theta = 0.003267727364229453, phi = 3.2801749340329227
pid = 22, p = (0.19004344382070484, 0.02722784888119628, 13.932095973963165, 13.933418679348387), Parent_PIDs = (111, 90), theta = 0.01377910948012171, phi = 0.14230330531159208
pid = 22, p = (0.07425794276285876, 0.10976292532147242, 7.525758303713222, 7.526925015419448), Parent_PIDs = (111, 90), theta = 0.017607333519036147, phi = 0.9759961176977391
pid = 22, p = (0.03287526845416377, -0.007446910085733663, 0.5875586399315172, 0.5885247616744194), Parent_PIDs = (111, 90), theta = 0.057307041076410555, phi = 6.060424455049518
pid = 22, p = (-0.021776326525392523, -0.17821534517051427, 8.967138928747747, 8.968936140095687), Parent_PIDs = (111, 90), theta = 0.020019413976545306, phi = 4.590800635422027

pid = -11, p = (3.67484439351441, 5.320684413349122, 2054.8755790700084, 2054.885753423412), Parent_PIDs = (-11, -11), theta = 0.0031468405978699876, phi = 0.9663586643062569
pid = -13, p = (0.6081992309749673, 1.2485942250231692, 405.64582524146334, 405.64821655432775), Parent_PIDs = (-13, -13), theta = 0.0034237768865524884, phi = 1.1175160576841214
pid = 13, p = (0.15383805492135508, 0.36165310071526835, 100.34447407278974, 100.34529934228495), Parent_PIDs = (13, 13), theta = 0.003916616828934133, phi = 1.16860840479113
pid = 2112, p = (0.9047444072920199, -0.4677270114980674, 2.329422591727557, 2.7104118498046748), Parent_PIDs = (2212, 90), theta = 0.41218417001016094, phi = 5.806052918244909
pid = 211, p = (0.11809229095132526, -0.9718002576740782, 71.5128522287743, 71.51968858439895), Parent_PIDs = (2, -4), theta = 0.013688281532292249, phi = 4.833315169942528
pid = 211, p = (-0.04557382346311373, -1.3792163587996233, 110.08816758073712, 110.0969047512559), Parent_PIDs = (4, -2), theta = 0.012534470023195623, phi = 4.679357725123911
pid = -211, p = (-0.8993508653949396, -1.0466283736144917, 78.3722384381227, 78.38451059053945), Parent_PIDs = (-213, 90), theta = 0.017605822959811203, phi = 4.002529789928456
pid = 211, p = (-2.0747364146840024, -1.3039541676958935, 211.0361425092819, 211.05041519183212), Parent_PIDs = (113, 90), theta = 0.011611114732128985, phi = 3.7026987599041523
pid = -211, p = (-0.6598720966592206, -0.4963237932222702, 43.853727631124336, 43.86172221221377), Parent_PIDs = (113, 90), theta = 0.018826111910742637, phi = 3.786469306690438
pid = -211, p = (-0.019877911703272327, -0.3969747776869218, 35.97630141159099, 35.97876772692523), Parent_PIDs = (-411, 90), theta = 0.01104771635245725, phi = 4.662357280353053
pid = 321, p = (0.5219968259033361, 0.007416279058652109, 104.93100062920435, 104.93346057705298), Parent_PIDs = (421, 90), theta = 0.004975128382718752, phi = 0.014206561707500585
pid = -321, p = (0.7626090082969832, 0.1336918556380965, 53.021534866019664, 53.029485435017556), Parent_PIDs = (421, 90), theta = 0.014601311860186574, phi = 0.17354500189455982
pid = 211, p = (-0.06079076316071627, -0.13991558327555878, 22.444730304456566, 22.44568266085975), Parent_PIDs = (223, 90), theta = 0.006796647152083284, phi = 4.302514721032775
pid = -211, p = (-0.29290782981783203, 0.12677261596382955, 13.710301866546038, 13.714726513847905), Parent_PIDs = (223, 90), theta = 0.02327500597554119, phi = 2.733127870623342
pid = 22, p = (-0.16880186885428028, -0.050378589450669455, 11.256545952126151, 11.257924268955238), Parent_PIDs = (111, 90), theta = 0.015648214723902883, phi = 3.4316250379129962
pid = 22, p = (-1.1172972174500047, -0.508537311793393, 101.25072287606373, 101.25816434340031), Parent_PIDs = (111, 90), theta = 0.012123609028443401, phi = 3.568720676879494
pid = 22, p = (-0.18691964694977403, -0.09128311546182027, 12.933126781902462, 12.934799570087925), Parent_PIDs = (111, 90), theta = 0.016082749695431227, phi = 3.5958808147998766
pid = 22, p = (-0.5102433536132299, -0.03935980841768716, 37.878461894502635, 37.88191881317144), Parent_PIDs = (111, 90), theta = 0.01350973707835476, phi = 3.2185794794064413
pid = 22, p = (-0.004301784565339736, 0.005523201696937624, 1.5924004110745504, 1.5924158000653679), Parent_PIDs = (111, 90), theta = 0.004396349178752659, phi = 2.2325116119423174
pid = 22, p = (0.1793145849184378, -0.18310383559140647, 7.245287550354847, 7.249818785480066), Parent_PIDs = (111, 90), theta = 0.03535756463430305, phi = 5.487332066469334
pid = 22, p = (-0.19082758749856865, -0.027294405613070047, 8.830874500091102, 8.832978240043818), Parent_PIDs = (111, 90), theta = 0.021825593636819674, phi = 3.2836608283807
