14.219093	16560000.0	22080000.0
17.900778	19440000.0	31200000.0
22.535744	30240000.0	41760000.0
28.37082	38400000.0	54960000.0
35.716747	56880000.0	72720000.0
44.96472	76800000.0	93840000.0
56.607229	89040000.0	108000000.0
71.264279	126240000.0	147600000.0
89.716412	159360000.0	185280000.0
112.946271	194160000.0	241200000.0
142.19093	240480000.0	290160000.0
179.007775	300480000.0	358320000.0
225.357437	365520000.0	459360000.0
283.708205	448560000.0	540480000.0
357.167468	560640000.0	644640000.0
449.647202	678240000.0	747120000.0
566.072289	819360000.0	822240000.0
712.64279	884640000.0	820080000.0
897.164117	850800000.0	678960000.0
1129.462706	646800000.0	375360000.0
1421.909302	192720000.0	50400000.0
1790.077754	0.0	0.0
2253.574373	0.0	0.0
2837.082046	0.0	0.0
3571.674683	0.0	0.0
4496.472021	0.0	0.0
5660.722891	0.0	0.0
7126.427896	0.0	0.0
8971.641174	0.0	0.0
