energy	numu_flux	nuebar_flux	CC_nuebar	CC_numu	NC_nuebar	NC_numu	0.125GeV	19.95GeV	0.5GeV	1GeV	3.16GeV	7.94GeV	15.84GeV	0.001GeV	0.01GeV	25GeV	30GeV	40GeV	0.05GeV	21GeV	18GeV	17.5GeV	23GeV	16GeV
897.2	2.552e+16	2.037e+16	2.81e-36	5.612e-36	1.023e-36	1.773e-36	7.7498e-38	1.225499999999999e-40	4.8708e-38	3.6599e-38	1.5845e-38	4.3177e-39	4.953e-40	1.78e-37	1.3000000000000001e-37	1.49e-41	6.760000000000001e-43	0.0	9.79e-38	8.719999999999996e-41	2.58e-40	3.0499999999999997e-40	3.7986e-41	4.89e-40
1129.0	1.94e+16	1.126e+16	3.547e-36	7.026e-36	1.2930000000000001e-36	2.2260000000000003e-36	1.0328e-37	3.358e-40	6.7493e-38	4.9249e-38	2.2613999999999998e-38	6.7381e-39	1.0457e-39	2.33e-37	1.72e-37	6.67e-41	7.82e-42	1.31e-45	1.3000000000000001e-37	2.5599999999999997e-40	6.0899999999999996e-40	6.99e-40	1.35e-40	1.03e-39
1422.0	5782000000000000.0	1512000000000000.0	4.485e-36	8.788000000000001e-36	1.6300000000000002e-36	2.7850000000000002e-36	1.3786e-37	7.7906e-40	8.9301e-38	6.6058e-38	3.1324e-38	1.0411e-38	1.9845e-39	3.0600000000000004e-37	2.26e-37	2.16e-40	4.35e-41	3e-43	1.71e-37	6.31e-40	1.28e-39	1.43e-39	3.7599999999999994e-40	2.01e-39
1790.0	0.0	0.0	5.6490000000000006e-36	1.0920000000000001e-35	2.056e-36	3.482e-36	1.778e-37	1.6000999999999998e-39	1.1945e-37	9.0409e-38	4.3223999999999997e-38	1.5720999999999996e-38	3.5652e-39	3.9700000000000005e-37	2.9500000000000002e-37	5.6e-40	1.61e-40	5.27e-42	2.24e-37	1.35e-39	2.47e-39	2.7e-39	8.88e-40	3.6e-39
2254.0	0.0	0.0	7.103e-36	1.364e-35	2.588e-36	4.351e-36	2.3767e-37	3.0582e-39	1.5691e-37	1.1907e-37	5.9785e-38	2.3484e-38	6.0398e-39	5.1600000000000005e-37	3.84e-37	1.26e-39	4.61e-40	3.57e-41	2.92e-37	2.64e-39	4.43e-39	4.81e-39	1.85e-39	6.18e-39
2837.0	0.0	0.0	8.92e-36	1.698e-35	3.255e-36	5.429000000000001e-36	3.0338e-37	5.3369e-39	2.0691e-37	1.5618e-37	8.150199999999999e-38	3.3995999999999996e-38	9.9156e-39	6.6000000000000005e-37	4.95e-37	2.56e-39	1.1e-39	1.49e-40	3.7700000000000014e-37	4.76e-39	7.5e-39	8.06e-39	3.5e-39	1e-38
3572.0	0.0	0.0	1.116e-35	2.097e-35	4.089e-36	6.754e-36	3.9297e-37	8.9963e-39	2.6713e-37	2.0963e-37	1.0803e-37	4.6891e-38	1.5595999999999996e-38	8.5e-37	6.3600000000000014e-37	4.79e-39	2.35e-39	4.64e-40	4.86e-37	8.2e-39	1.22e-38	1.3e-38	6.3e-39	1.58e-38
4496.0	0.0	0.0	1.4030000000000002e-35	2.596e-35	5.116e-36	8.386000000000001e-36	5.0559e-37	1.4790999999999999e-38	3.4812e-37	2.7402e-37	1.4908e-37	6.6109e-38	2.389e-38	1.07e-36	8.13e-37	8.32e-39	4.54e-39	1.17e-39	6.26e-37	1.34e-38	1.91e-38	2.03e-38	1.06e-38	2.4e-38
5661.0	0.0	0.0	1.751e-35	3.19e-35	6.419e-36	1.039e-35	6.4592e-37	2.298e-38	4.5167e-37	3.5498e-37	1.9619999999999998e-37	9.2214e-38	3.5662e-38	1.36e-36	1.03e-36	1.39e-38	8.1e-39	2.5799999999999998e-39	8.01e-37	2.1099999999999998e-38	2.91e-38	3.08e-38	1.72e-38	3.63e-38
7126.0	0.0	0.0	2.18e-35	3.921e-35	8.041e-36	1.285e-35	8.3117e-37	3.5107e-38	5.8049e-37	4.6173e-37	2.6145e-37	1.2607e-37	5.290499999999999e-38	1.73e-36	1.31e-36	2.21e-38	1.37e-38	5.11e-39	1.01e-36	3.26e-38	4.36e-38	4.56e-38	2.67e-38	5.3e-38
8972.0	0.0	0.0	2.713e-35	4.7960000000000004e-35	1.0020000000000001e-35	1.578e-35	1.0536e-36	5.172799999999999e-38	7.3389e-37	5.9284e-37	3.346e-37	1.7544e-37	7.4791e-38	2.17e-36	1.65e-36	3.4e-38	2.2e-38	9.37e-39	1.28e-36	4.84e-38	6.300000000000001e-38	6.62e-38	4.05e-38	7.6e-38
