Energy,Cross_section_pb,pid,momentum,parent_pids,theta,phi
28.37082,6.0434e-05,,,,,
,,-13,"(-1.0743050626972894, -0.9173880975932052, 9.332995179057278, 9.439899116899984)","(14, 2)",0.1502262222217196,3.848367512451298
,,39,"(-1.2920947012350332, 0.38511149895801583, 6.692092932172124, 6.827721165804421)","(39, 39)",0.19880997586510898,2.8519239085542125
,,2112,"(0.6253650949196504, -0.14459946016883246, 3.509682267353657, 3.689532749346682)","(1, 2101)",0.18088505485293627,6.055954663955297
,,-211,"(0.21101895799460815, 0.27287760811609996, 2.4450347803312793, 2.473189449187814)","(-213, 90)",0.14015722417312151,0.9125430179514072
,,211,"(0.8201230451287023, -0.1729116450090918, 0.958010198593505, 1.2805325343934422)","(213, 90)",0.7187673020893617,6.075392344899837
,,22,"(0.06466411695296144, 0.10103357885613959, 0.7092486505829463, 0.7193211246943303)","(111, 90)",0.16754433685155828,1.0014646936875091
,,22,"(0.26631797944386704, 0.7071522748843385, 2.9866036492834276, 3.0807127363586253)","(111, 90)",0.24780894749478985,1.2106181654128778
,,22,"(0.04449676609905037, 0.008658015451068063, 0.09730106430658424, 0.10734253835278246)","(111, 90)",0.43598641271946076,0.19217505173936256
,,22,"(0.3344138033934801, -0.2399337734945324, 1.6378758997316625, 1.688797877333229)","(111, 90)",0.24619324950286256,5.660826726917766
,,,,,,
,,-13,"(2.102672210573556, 1.1276971524276325, 7.023628338639206, 7.418588165388845)","(14, 2)",0.32747721379779665,0.4922767439561239
,,39,"(-0.000688832350159832, 0.743361833231155, 9.180408982692928, 9.211316154636101)","(39, 39)",0.08079638711178723,1.5717229712931833
,,2112,"(-0.3480203596832785, -0.8017560319364858, 3.9690465859611694, 4.1713371347723305)","(2114, 90)",0.21675244233972973,4.302858888534971
,,211,"(-0.1774349391781162, -0.16064455105543599, 1.5380089101677956, 1.5627671042354576)","(310, 90)",0.15438677093432868,3.8773675644160632
,,-211,"(-1.1706159472138953, -0.31475910024276027, 4.596391787787975, 4.755597989612019)","(310, 90)",0.25785622599469127,3.4042633889032388
,,22,"(-0.0031839677200101307, -0.015094682916563303, 0.13877432632498576, 0.13962915436880402)","(111, 90)",0.11071032891345832,4.504503300069631
,,22,"(-0.40272816442809833, -0.5788046195075668, 1.922585689838499, 2.047813589357856)","(111, 90)",0.35152704163244153,4.1044921343598375
,,,,,,
,,-13,"(1.0206934737663105, -1.4553162115216962, 20.22895391164287, 20.307178554340783)","(14, 2)",0.0876475055394462,5.32402384129183
,,39,"(0.40545170872353437, -0.47185090295159937, 3.1340615293378224, 3.197690565698103)","(39, 39)",0.19595579781255856,5.422245543657256
,,2112,"(-1.5574110117733568, 1.9905378493660635, 4.359347032678519, 5.125862690862368)","(1, 2101)",0.5254091270051594,2.23471747544222
,,22,"(0.12379806631842376, 0.0030928908122663315, 0.5028945356331945, 0.5179174076698755)","(111, 90)",0.24144411736389937,0.02497815717710915
,,22,"(0.0074677629650879394, -0.06646362570503545, 0.14358761212006937, 0.158400073800189)","(111, 90)",0.43590799989416695,4.824278352865069
,,,,,,
,,-13,"(-0.39030786669317497, -1.1628262934077958, 14.293215863015444, 14.346138468654184)","(-13, 90)",0.08560599633818335,4.388550841535138
,,39,"(-0.6314532190141938, -0.9824717571085692, 6.334108937087084, 6.442109038953168)","(39, 39)",0.1823343877131811,4.141149287294295
,,22,"(-7.159382152180169e-10, -5.495958584919627e-09, 5.465464961177919e-08, 5.493495110111155e-08)","(22, 22)",0.10106206438133941,4.582852106387696
,,-211,"(0.2478275078659667, 1.5338789475846515, 4.859200609667566, 5.1034805230736495)","(-213, 90)",0.309483844700573,1.4106114640847518
,,2112,"(0.48234164407126234, 0.3350415408536841, 1.7579866923187604, 2.0780315904655624)","(2214, 90)",0.322411678240427,0.6071024398885753
,,211,"(-0.03583979073951586, -0.1234741924465853, 0.30554443951502885, 0.35967701652891554)","(2214, 90)",0.39830053619953615,4.429890462741412
,,22,"(0.22887762617624446, 0.36125725836634454, 0.6749390413023353, 0.7990209533926855)","(111, 90)",0.5647777761752285,1.0060662052724412
,,22,"(0.09855409904935016, 0.03859450165423143, 0.14384898385161865, 0.17859164636821856)","(111, 90)",0.6343398362471435,0.3732503926830038
,,,,,,
,,-13,"(-0.4568659586586504, -1.263591155111298, 16.84828476768124, 16.902107938358938)","(14, 2)",0.07958139240440408,4.365451708868604
,,39,"(1.0225538698477605, -0.6331007131635642, 3.3776498211916266, 3.5875897432539468)","(39, 39)",0.3420715009889499,5.7288133525803735
,,-211,"(-0.14467479978957531, 1.1791918311043987, 4.8533704761171395, 4.998610700543004)","(1, 2101)",0.240064719180537,1.692876011400252
,,211,"(0.0764705407161548, 0.14360218847741088, -0.08792838223947658, 0.23169056397742077)","(1, 2101)",2.0662799233700397,1.0814751270328775
,,2112,"(-0.4974836521156889, 0.5738978486930519, 3.3774679386619524, 3.58705034623802)","(1, 2101)",0.22119475117248186,2.28499201177079
,,,,,,
,,-13,"(0.289805077036437, -1.666065148557598, 8.335838984870426, 8.50629976424532)","(-13, 90)",0.20015259251193968,4.884611614015437
,,39,"(0.33940284518548414, -0.15214201910560343, 10.412725830559568, 10.420127140743356)","(39, 39)",0.03570484707040938,5.8617761195854365
,,22,"(-0.003639406435923141, -0.06827821542310353, 0.15950624462819815, 0.1735436603738672)","(22, 22)",0.4049729388896493,4.6591367745914996
,,-211,"(-0.20270623273105975, 1.2540483137584806, 4.335079558134942, 4.519526695383926)","(1, 2101)",0.2850537463270841,1.7310516905570432
,,2112,"(-0.11555217331625503, 0.5423370267920906, 1.9725648702961776, 2.2541707361720347)","(1, 2101)",0.27403896034280995,1.7807207204166915
,,211,"(0.2062899902223873, 0.07986143799466788, 0.617473913734506, 0.6705872265314462)","(213, 90)",0.34400397855439635,0.3693642146130121
,,22,"(-0.39143656784883774, -0.1463243182545961, 0.562173049530833, 0.700479785847348)","(111, 90)",0.6392318128074016,3.4993227995445584
,,22,"(0.00889746096563928, -0.007928805295518251, 0.04034497786664737, 0.042068372967225424)","(111, 90)",0.28722580664702047,5.555291744597149
,,22,"(-0.01486474857787439, 0.013720538177713869, -0.007016763744204048, 0.021411419654275884)","(111, 90)",1.9046763858364049,2.3962010816290453
,,22,"(-0.07694175215047155, -0.015127297546123318, 0.34678644753525284, 0.35554143014444106)","(111, 90)",0.22237848670225385,3.3357237260176915
,,22,"(-0.009840811821225079, 0.011600292607818394, 0.785402928727909, 0.7855502331616139)","(111, 90)",0.019366124211898504,2.274316842018072
,,22,"(0.07116155606213054, 0.03766407925213197, 0.2835820480523904, 0.2947903117551239)","(111, 90)",0.2766389255604672,0.48679291373203376
,,22,"(-0.025940712386730895, 0.09997087371444649, 0.158620077580032, 0.1892813386519029)","(111, 90)",0.5771662822009626,1.8246797810041149
,,22,"(-0.07463452420370474, 0.016663241885191277, 0.36576245363979326, 0.37367117673944283)","(111, 90)",0.2061068173281438,2.9219306702880647
,,,,,,
,,-13,"(1.9544356355392645, 1.5262778227637992, 9.243674013073566, 9.571103172638875)","(-13, 90)",0.2620973075197138,0.663004375217955
,,39,"(0.1939338722443103, 0.0699063975012164, 2.3149871951833303, 2.327554915922352)","(39, 39)",0.08881530113624393,0.34596728033515306
,,22,"(1.72448138437021e-05, 4.3057660521730865e-06, 5.289486634084677e-05, 5.580134506457735e-05)","(22, 22)",0.324175032707816,0.24468188168438537
,,2112,"(-1.0576519530597612, -0.292170581309588, 3.540597207936051, 3.8239523632151173)","(1, 2101)",0.3005232736349465,3.4111155384380227
,,11,"(-0.12422122789486648, -0.22961175804147999, 1.542908358419326, 1.564838310015392)","(223, 90)",0.16761264589614933,4.216477539169725
,,-11,"(-0.1543526428738772, -0.2874490132637109, 1.926859503662811, 1.9542874613436805)","(223, 90)",0.16773598163021816,4.219601520599438
,,22,"(-0.27570135858231687, -0.4951855859098696, 6.226331188047698, 6.252073261476748)","(221, 90)",0.09077658822825975,4.204367745438954
,,22,"(0.17310522629990482, -0.23032821455772798, 1.4308573600248335, 1.459578463300596)","(221, 90)",0.19870855980064825,5.356887057524471
,,22,"(-0.015802155030925552, -0.10497292342409043, 0.11154747469294263, 0.15398656391449886)","(111, 90)",0.7606363730205719,4.56297532482046
,,22,"(-0.07289451306395497, -0.007116962909758155, 0.0024724285362947365, 0.07328283631763349)","(111, 90)",1.537051756483637,3.2389179157282917
,,22,"(-0.5302509280006934, 0.0908159010490747, 1.688901558060621, 1.7725129188100561)","(111, 90)",0.3083720985249984,2.971968749438653
,,22,"(-0.09061720039093263, -0.040169387663916895, 0.3396554389086653, 0.3538232240713186)","(111, 90)",0.28394402651334627,3.558849680364605
,,,,,,
,,-13,"(1.3359616141703583, 1.4088152089508317, 13.349739497612598, 13.490599038486973)","(-13, 90)",0.144423501168738,0.8119345625214103
,,39,"(-0.006142709870208707, 0.2792529985855907, 6.288210317142665, 6.295669772492781)","(39, 39)",0.044390540980768486,1.5927897143007341
,,22,"(3.4930381437851447e-06, 5.192604951532383e-06, 4.124679453332044e-05, 4.1718850906161954e-05)","(22, 22)",0.1505761274598772,0.9786320303209625
,,-211,"(-0.8635092977738628, -0.9816733558172739, 1.4814632208929601, 1.9807937663022879)","(3, 2101)",0.7230705790016682,3.9909427097694192
,,2212,"(0.11617648356951998, -0.5184143710366195, 2.4585645786211385, 2.684611855665993)","(3, 2101)",0.21281825234420615,4.932846299782349
,,211,"(-0.12593295543357724, -0.17099470557649604, 2.6343109845167216, 2.646539711896439)","(310, 90)",0.08044052430848563,4.077601617340298
,,-211,"(-0.4565566277003728, -0.016990967710986238, 2.156514775831855, 2.2087934286759388)","(310, 90)",0.2087700628786904,3.1787909529475487
,,,,,,
,,-13,"(1.3538700363089562, 0.41383221752358773, 7.196711887926445, 7.335396868124963)","(14, 2)",0.19423545615709575,0.2966469402799266
,,39,"(1.6138410006277226, -0.25988772785581343, 10.691906536911633, 10.81687287167632)","(39, 39)",0.15171032397265016,6.123519326193124
,,2112,"(-1.1913348708695735, -0.1561949724724423, 2.3378110328183506, 2.791384576521604)","(1, 2101)",0.4747494767426264,3.2719582773752234
,,211,"(-0.9415248057293921, 0.32165964721848017, 4.37355769115831, 4.487473738223156)","(113, 90)",0.2236861437863056,2.8123875675228405
,,-211,"(-0.8348513603377261, -0.31940916441381173, 3.7688574725977464, 3.8759212378252945)","(113, 90)",0.23286928609990917,3.5070044439058634
,,,,,,
,,-13,"(2.07679922085497, -0.15593840240470783, 7.571835033470011, 7.853741885163538)","(-13, 90)",0.2684141874861496,6.208240009958889
,,39,"(0.08070094440304293, 0.6887513865437866, 4.182691134475518, 4.241655945838827)","(39, 39)",0.16429901975664105,1.4541582338912815
,,22,"(0.3413780050822727, 0.03201437072785271, 1.269066878422617, 1.3145701214451735)","(22, 22)",0.2638791417878397,0.09350634957294865
,,22,"(1.905181673416439e-08, 2.4499427610655408e-09, 5.3565628961003816e-08, 5.6905628424547035e-08)","(22, 22)",0.34431664124330624,0.12789178414790917
,,211,"(-0.7258720201935961, -0.03694908721352502, 0.8624254627554414, 1.1364474860083864)","(1, 2103)",0.7002718519673005,3.192451789293958
,,2112,"(-0.4794643249544168, -0.25131596938175105, 5.398814932441711, 5.5066360162104315)","(1114, 90)",0.09993557485275846,3.6243808430383
,,-211,"(-0.34762462538805305, 0.18613187887719115, 3.1189184083978096, 3.146842827287894)","(1114, 90)",0.12576109150710915,2.6499971839699175
,,211,"(-0.6777421279048098, -0.0827238924993228, 3.622929407008491, 3.689346135481743)","(223, 90)",0.18627378430189814,3.2630499322719726
,,-211,"(-0.2750914594244016, -0.3325096881027867, 1.6658742722954034, 1.7265152416721372)","(223, 90)",0.25348266627932065,4.02121088171387
,,22,"(0.015587972665827832, -0.08539265250328364, 0.5935261402188377, 0.5998401196289295)","(111, 90)",0.1452213645921751,4.892945620449591
,,22,"(-0.00867160419265699, 0.03793205350660364, 0.08276289836101719, 0.09145345672864423)","(111, 90)",0.439480345012883,1.7955430849579623
,,,,,,
,,-13,"(-1.59563308546057, 0.2896520019288559, 5.322201630182553, 5.564794466425121)","(14, 2)",0.29576916424359906,2.9620201131646047
,,39,"(-0.5707272351208739, 0.4851575245591395, 7.198665693571118, 7.238628605606112)","(39, 39)",0.10368377677162822,2.4370585382230034
,,2112,"(0.08897125714341425, 0.0915844746824151, 2.025820580023232, 2.236748624219134)","(1, 2103)",0.06294578746185417,0.799870343644053
,,-211,"(1.1435483890737665, -0.3025480676109029, 6.946186925853895, 7.0475691444051725)","(-213, 90)",0.16867589355830254,6.024541837018054
,,211,"(0.48045897281934646, 0.5921987190734416, 1.9022023178106915, 2.05411625528333)","(213, 90)",0.3812796827157217,0.8891947185799901
,,22,"(0.18321230914143516, -0.3025497364031027, 2.0804675387634344, 2.110319471802055)","(111, 90)",0.16839934840965845,5.256887392865399
,,22,"(-0.005378202424210499, -0.14782640241368736, 1.0046609479641213, 1.0154925852393286)","(111, 90)",0.14618757437074545,4.676023139895734
,,22,"(0.12157706860891015, -0.46463672677412177, 1.2715866742278628, 1.3592648533500682)","(111, 90)",0.361136433977532,4.968311747363355
