Energy,Cross_section_pb,pid,momentum,parent_pids,theta,phi
22.535744,1.9143e-05,,,,,
,,-13,"(-1.7712683074278184, -1.0500608963774183, 9.336319857097866, 9.561278774967242)","(14, 2)",0.21707540189979796,3.6767233752648543
,,39,"(-0.1505686993219101, 0.6008160407568242, 1.310779669629306, 1.4552123940909658)","(39, 39)",0.4414391132815867,1.8163461926788682
,,-211,"(-0.017813335903315686, 0.008175795170991651, 0.027313144731874406, 0.14356166388637748)","(1, 2103)",0.6224418669403636,2.711303971676735
,,321,"(1.510286100132021, 0.8629882109250258, 8.62602379245168, 8.81349642121616)","(1, 2103)",0.19898381125672918,0.5191299330733752
,,22,"(0.029579002452214453, 0.047762549380287296, 0.2090701343364212, 0.21648671917884874)","(3212, 90)",0.2625119534123485,1.016311603667004
,,2112,"(0.4121648887316839, -0.3833507233722658, 2.4134524756704128, 2.650355129003071)","(3122, 90)",0.2291315105855183,5.533992057918112
,,22,"(-0.006159652922719182, -0.09294603330920845, 0.1995227054735881, 0.2201958592515878)","(111, 90)",0.43678896660783206,4.646214460612074
,,22,"(-0.006219995740155481, 0.006615056825758789, 0.4117042147367601, 0.4118043318808435)","(111, 90)",0.02205121724398412,2.3254243477090033
,,,,,,
