Energy,Cross_section_pb,pid,momentum,parent_pids,theta,phi
142.19093,0.0047281,,,,,
,,-13,"(-0.5672330068171318, 0.8259857984521826, 18.42429907615285, 18.45182826460279)","(14, -1)",0.054331227582561425,2.1725637295546236
,,39,"(1.6847562460903889, 1.2383982568206984, 80.09357417483685, 80.12096171959548)","(39, 39)",0.02610029706075133,0.6338712558432404
,,-211,"(-0.3492487590551618, 0.2438450694819031, 2.1836266676936225, 2.229156863564105)","(1, -2)",0.192647162927323,2.5320765618349323
,,211,"(-0.052794597241161784, 0.10747684433118129, 5.43380267828061, 5.436913634862593)","(1, -2)",0.02203323874150393,2.027393961343123
,,-211,"(-0.35330736686649833, -0.12438507529802956, 1.9258891887652212, 1.9669333223934655)","(1, -2)",0.19209051895025617,3.480100685734348
,,-211,"(-0.6639877470616046, -2.2688553391912634, 26.135953429588895, 26.243020514738085)","(1, -2)",0.09020536343004117,4.427685934826785
,,2112,"(-0.5640628182796831, 0.24206884204707127, 0.8434291582211701, 1.4038976875446842)","(2214, 90)",0.6291127404394155,2.7362102549285483
,,211,"(0.10454037505114186, 0.02711114157579947, 0.3506839501938822, 0.39258466836717215)","(2214, 90)",0.29874866381968407,0.253746529911577
,,211,"(0.6958024199379559, -0.02540880566558243, 5.6283680543593375, 5.672988044692988)","(213, 90)",0.12308127693032181,6.24668425507372
,,22,"(0.025916597433613624, -0.2605611414174227, 0.9324127908608821, 0.9684820034467675)","(111, 90)",0.27377558797507284,4.811527459172812
,,22,"(0.03961865680811819, -0.005675591136575002, 0.228712503339282, 0.23218798307782865)","(111, 90)",0.1732390229141708,6.140897868383594
,,,,,,
,,-13,"(2.6331825471654398, 1.1342181814832606, 79.10932815763532, 79.16133568098722)","(14, 2)",0.036226038916738,0.4067227781802237
,,39,"(0.4095174888985454, 0.9219526756027735, 27.693744754032736, 27.712398826749673)","(39, 39)",0.036411326017180244,1.1527887221992383
,,-211,"(0.1534058789314907, 0.2343539638093536, 3.443388769982202, 3.457580244937699)","(1, 2101)",0.0811651332473255,0.9912008054607747
,,321,"(-1.969073446661211, -1.592980301601009, 26.444325606967396, 26.569924975982655)","(1, 2101)",0.09548553647454097,3.8217973229939197
,,-321,"(-0.13000323080831702, 0.2101772181188676, 1.1564375182607258, 1.281461267100107)","(1, 2101)",0.210536146019534,2.1247374935276
,,-211,"(0.14224398863357396, -0.13064468846310723, 0.07376813680398364, 0.249445204070036)","(1, 2101)",1.205946617158825,5.540267184606637
,,2212,"(-1.104898584359776, -0.3747953466081878, 3.477078752941736, 3.7857231384001455)","(2224, 90)",0.32374474999452446,3.4686250405533565
,,211,"(-0.13437464179973366, -0.4022817023419438, 0.782679975668825, 0.9010853686587589)","(2224, 90)",0.49659990860387954,4.390010473001752
,,,,,,
,,-13,"(-1.3957002670733427, -2.2164680944310753, 78.47798197604847, 78.52175194885638)","(-13, 90)",0.033363800832311746,4.1504201579541
,,39,"(1.1833914308293685, -0.5185983640620102, 57.00357232105314, 57.018352009023026)","(39, 39)",0.022662014522793598,5.870161785867449
,,22,"(-6.897813807740614e-10, -1.0892415948336145e-09, 3.964299189301088e-08, 3.966395154084506e-08)","(22, 22)",0.03251083511421005,4.14786652278892
,,2112,"(0.3210854455238171, 1.1531473367335887, 4.4648661552462, 4.717061183905289)","(1, 2101)",0.26193680155246174,1.2992323006639135
,,211,"(-0.41160097342758445, 0.9052184705135828, 1.0136940280391058, 1.4268465958426053)","(113, 90)",0.7757914618711222,1.997550187259613
,,-211,"(0.3028243648375242, 0.6767006523351535, 1.2206371522630168, 1.434942929595055)","(113, 90)",0.5458147283952866,1.1500223333933863
,,,,,,
,,-13,"(0.6191813163965656, -1.0563299149897694, 38.127533701210226, 38.147335536894296)","(14, 2)",0.032102917811463925,5.242571944832579
,,39,"(2.037353821386994, 0.7790718787655724, 66.90626756759137, 66.94193194353963)","(39, 39)",0.03258973540892431,0.36523727186523214
,,2112,"(-0.498458845353786, 0.3193969722422763, 8.405274620669536, 8.478319932637618)","(1, 2101)",0.07031701091930015,2.571734113289134
,,-2112,"(0.08333389507174854, 0.07241085201925668, 4.153566773606541, 4.2599409147623435)","(-2214, 90)",0.026572992400575188,0.715378554699413
,,-211,"(-0.37728485500085107, -0.33528190756181153, 1.2864203584899239, 1.3889258234292587)","(-2214, 90)",0.37389984008724964,3.8681129649790615
,,2112,"(-0.555193792191872, -0.13949523479765358, 1.9933401419777885, 2.276817026890757)","(2214, 90)",0.27965544912981605,3.387752175358549
,,211,"(0.16027336899760602, -0.16634078442571443, 0.8670201205667925, 0.9080531282589468)","(2214, 90)",0.2603714718767207,5.479212573249824
,,211,"(-0.23911071926926178, 0.04977229408670118, 1.4900427749980887, 1.5163635690533177)","(223, 90)",0.1624673323289115,2.9363673746411947
,,-211,"(-0.6487818271557306, 0.5192079118913911, 11.343173597970566, 11.374425777753114)","(223, 90)",0.07312578157953328,2.4666802595210484
,,211,"(-0.1636545342033468, -0.05088133444792463, 0.18839942224358558, 0.2904235595853626)","(223, 90)",0.738133433658871,3.443025558063772
,,-211,"(-0.11115060513207671, -0.2612686657405946, 0.9500129540477384, 1.0013092281995641)","(223, 90)",0.2904186125314636,4.310157167899539
,,22,"(0.010009051779380725, 0.027366143541991822, 0.037118225410162936, 0.04718950717567292)","(111, 90)",0.66554893471599,1.2201635170109815
,,22,"(0.020148308515518378, -0.07954894623578118, 0.6854688032366069, 0.6903632879824111)","(111, 90)",0.11914794686139667,4.960454100554672
,,22,"(-0.04887106544883718, 0.006630943229459753, 0.31471114004283746, 0.31855211836256736)","(111, 90)",0.15544724321924525,3.0067338049489583
,,22,"(-0.207083440502102, 0.12693565011003607, 4.706242950769078, 4.7125066495722505)","(111, 90)",0.051564707509431575,2.5916919376136525
,,22,"(-0.0005107781309648214, -0.011435143849374954, 0.0028362105020046657, 0.011792688377407845)","(111, 90)",1.3279093660042922,4.667751252494886
,,11,"(-0.050901807739959615, 0.1224144363104415, 0.45349003649944136, 0.4724719701460216)","(111, 90)",0.28441924822092807,1.964861887275504
,,-11,"(-0.029297492019024027, 0.07737484985150084, 0.2698322724606352, 0.2822320442657382)","(111, 90)",0.2975184439400928,1.9327575569504667
,,,,,,
,,-13,"(-1.518784383569038, -1.6762064780842927, 94.43982138548476, 94.46696460413455)","(14, 2)",0.023946550756520635,3.976222535074567
,,39,"(-0.45706771884823266, -0.36925253258635427, 21.433039473240562, 21.44146189781561)","(39, 39)",0.027408139319746828,3.8211156220718387
,,-211,"(-0.36197075928947786, 0.003078781541330275, 1.4092515664022607, 1.461677827629479)","(1, 2101)",0.25142696637453615,3.1330872502655174
,,2212,"(0.8106511402545448, 1.1590197270421083, 1.62997188708011, 2.3532192724946506)","(1, 2101)",0.7147005731057176,0.9604541898232845
,,211,"(0.3790906889831671, 0.665423700905967, 9.518704255841541, 9.55048213166629)","(113, 90)",0.08028254749273527,1.052955613767567
,,-211,"(0.8827040442135481, 0.18469460687154027, 10.4164591410942, 10.45635593074678)","(113, 90)",0.0863610602875264,0.20626159230546373
,,211,"(-0.025919421879459822, -0.06459907616535707, 1.2094017190189108, 1.2194167293988878)","(221, 90)",0.05748983660485599,4.330818247645854
,,-211,"(0.042657978390348454, 0.039189221554723895, 0.6669296730187863, 0.6838351203757833)","(221, 90)",0.08663830054560058,0.7430426242606544
,,22,"(0.12836355356059365, 0.0748980513475749, 0.5294293450472396, 0.5498930363038949)","(111, 90)",0.27366797404919974,0.5281866908683087
,,22,"(0.12027487818401218, -0.016246002427225244, 0.9277432260645486, 0.9356481563203665)","(111, 90)",0.13008103276069594,6.1489239572692655
,,,,,,
,,-13,"(-2.757884975955803, -0.09568004137421984, 58.32646011448309, 58.391799062307605)","(-13, 90)",0.047276792449478446,3.176272011991798
,,39,"(-0.44735334066373644, -0.07875806127207206, 72.1796336829509, 72.18117272093986)","(39, 39)",0.006293011319946484,3.3158602018524626
,,22,"(-5.150562281994863e-08, 8.115921659480223e-09, 1.0146459301789306e-06, 1.015984773997682e-06)","(22, 22)",0.051343333319399664,2.9853042074648473
,,2112,"(1.990443297071625, 0.01529283157798586, 7.932160486983129, 8.231892866510806)","(2114, 90)",0.24586384822011503,0.007682977303011529
,,211,"(0.5957288530398102, -0.7273173051706814, 1.4631738043437117, 1.7447752564048233)","(113, 90)",0.5711144935791433,5.398654459663918
,,-211,"(0.42260161196974044, 0.7227964730625119, 1.3375591669708518, 1.5841626096959822)","(113, 90)",0.5592973764920308,1.0417208244145533
,,22,"(0.004651168276830243, 0.07374802109851085, 0.18261928997024332, 0.19700306863478445)","(111, 90)",0.3844975045484549,1.507811367705662
,,22,"(0.1918134377671597, 0.08991807396204432, 0.7591441119450738, 0.7881481064076564)","(111, 90)",0.2721328106592444,0.43836017478711164
,,,,,,
,,-13,"(2.886633188347079, -0.8713825949245161, 29.0120989597288, 29.168561995331572)","(-13, 90)",0.1035602568689097,5.9900155041318035
,,39,"(-0.48100844279104604, 0.7774872455420797, 97.19004231923222, 97.19442386513087)","(39, 39)",0.00940656436656555,2.1248311569178604
,,22,"(-5.7295567552742006e-05, -0.00013589388269363536, 0.0017836078685867782, 0.0017896946550457744)","(22, 22)",0.08249786777775459,4.3133847735219915
,,2212,"(-0.5687022863469424, -0.2231964963659639, 1.3838522785283975, 1.7800664842006664)","(1, 2101)",0.4157399526610405,3.5155876597477396
,,-211,"(0.06806647592536627, 0.015880039374607365, 0.10937812003753294, 0.1906005740767393)","(-213, 90)",0.5686147165014442,0.22920213967057576
,,211,"(-0.15040065174168835, 0.22706682553232715, 2.8993188332134605, 2.915426071919492)","(223, 90)",0.09366426519659715,2.1558135109784167
,,-211,"(-0.2232053537286235, 0.12276039415520124, 1.8086189326084017, 1.8317950138036234)","(223, 90)",0.13992551448462276,2.6387582152411118
,,22,"(-0.5054210839280061, -0.26122616802545867, 0.9547097296757673, 1.1113776364844699)","(111, 90)",0.5374192147765678,3.6186280925553476
,,22,"(-0.09068021967657186, 0.007577939049251491, 0.1945521358007903, 0.21478096038865935)","(111, 90)",0.4374933740483993,3.0582186577464343
,,22,"(-0.07719042698626635, 0.070177177595305, 0.6410970790964625, 0.6495295706121326)","(111, 90)",0.16131117835525088,2.403748781391395
,,22,"(-0.01817106147111592, 0.22974409583585592, 2.2531370546092915, 2.2648927400430816)","(111, 90)",0.10193027169615144,1.6497246336995908
,,22,"(-0.5992505704388265, -0.11561250575178231, 3.8399056684976687, 3.8881027559232533)","(111, 90)",0.15761813294359683,3.33217952738531
,,22,"(-0.24061227159580684, 0.020859941865784375, 1.8922569533955076, 1.907607344316641)","(111, 90)",0.12694683678442018,3.055113628320622
,,,,,,
,,-13,"(-0.3102394060808398, 2.5144590778239855, 42.35428751694707, 42.430125948987644)","(14, 2)",0.059746265419401326,1.6935580607031955
,,39,"(0.22623093625488275, -0.09077819247082042, 84.04173485179827, 84.04218266405428)","(39, 39)",0.002900508737232375,5.901590275208933
,,-211,"(0.5032843871296928, -1.8877547134996442, 10.975825976739417, 11.149221887164881)","(1, 2101)",0.17615460121181226,4.972933571988134
,,2112,"(-0.15810244434527027, -0.2400972740393251, 1.0241240597236065, 1.4192480257213058)","(1, 2101)",0.2736626530885732,4.130066232520825
,,211,"(-0.3914843492304465, -0.5421349192188102, 1.4563478389181046, 1.6086015911810496)","(213, 90)",0.43045159241947717,4.086973692493974
,,22,"(0.19671316085553367, 0.01737763839611417, 0.2434341425690159, 0.3134616910219086)","(111, 90)",0.6815465321016474,0.08811125830261123
,,22,"(0.1542339474427791, 0.12268184063091943, 0.3772504477190485, 0.42562523993367346)","(111, 90)",0.48140733935546515,0.6719462789850051
,,22,"(-0.22868809592331504, 0.06852859714047456, 1.5376949439687273, 1.556117011843923)","(111, 90)",0.15402543486182327,2.850448126603437
,,22,"(0.008051863896988375, 0.03771794523710341, 0.17005189390970327, 0.17437064697764282)","(111, 90)",0.22302726812461346,1.3604775965805704
,,,,,,
,,-13,"(1.1833811817843936, 1.5115361145138975, 74.19645342623578, 74.22135809532226)","(-13, 90)",0.025867027594573808,0.9065697144078413
,,39,"(-0.2814640670855548, 0.4100614474675418, 61.96519775271811, 61.96732166123349)","(39, 39)",0.00802635686667138,2.172332841262121
,,22,"(2.7225290152489496e-05, 0.00010075611438726016, 0.0032192126651459604, 0.003220904095816339)","(22, 22)",0.032409490897146925,1.3068889519988989
,,22,"(1.0297983625715923e-06, 3.6069607964212083e-06, 0.00015317708098041264, 0.00015322300345749123)","(22, 22)",0.024483669746624633,1.292691958247942
,,-211,"(-0.24385454173412757, -0.12068456735256057, 1.37122833118977, 1.4049116425878594)","(1, 2103)",0.19587941669312642,3.6011550897758937
,,211,"(-0.6262364417643493, -0.21802736925278113, 0.9045350615778441, 1.1302085990031203)","(113, 90)",0.6325900195335098,3.4766229055196116
,,-211,"(-0.045826421661485095, -0.649416073069709, 1.1492968497199227, 1.3282335376580867)","(113, 90)",0.5153927280892242,4.641940179111367
,,2212,"(0.19777441521232453, -0.7741200709105877, 1.5174115637190628, 1.954805629751337)","(2214, 90)",0.48465702109215725,4.96252129469566
,,22,"(-0.18517195233039016, -0.17879715957509934, 1.0068504001187433, 1.0392327960670051)","(111, 90)",0.2502921783320122,3.9094779544491844
,,11,"(0.0021102690627487044, 0.001865925818719244, 0.006585539440444328, 0.007180902826233287)","(111, 90)",0.40418908655829194,0.7240238153102837
,,-11,"(-0.0007406965720753974, 0.01747738928539552, 0.05982035782712485, 0.062327715337644134)","(111, 90)",0.284494534006481,1.6131512566559858
,,,,,,
,,-13,"(2.6357796612034057, -4.3875719393258255, 49.90923649101041, 50.17111891413603)","(-13, -13)",0.10219708276080286,5.253350694718818
,,39,"(-0.10890061718542354, -0.15093744219092953, 25.685836077704867, 25.686818903635384)","(39, 39)",0.00724597381770184,4.087382004223112
,,2112,"(-2.1694312120245938, 3.3510742631399464, 39.67094161584005, 39.88235864355411)","(1, 2101)",0.10029041630159313,2.14533019631324
,,-2112,"(-0.6920712085707101, 1.000068581656915, 17.117672292284258, 17.186523680392327)","(1, 2101)",0.0709291671126659,2.176149018834285
,,2112,"(-0.5319850782116571, -0.7353491332094628, 2.929449378954685, 3.207524266456882)","(1, 2101)",0.30044231282350364,4.0861004169243555
,,22,"(0.46663727942736505, 0.5640678455130825, 3.6929911295114555, 3.764851440301922)","(111, 90)",0.1956945986305795,0.8796461796011332
,,22,"(0.3999711753615689, 0.35864782441617266, 3.1746246869873866, 3.2197588584097945)","(111, 90)",0.16763499819015026,0.7309801323198444
,,,,,,
,,-13,"(-1.6227697785338837, -0.8800782217358928, 51.82872375334048, 51.8616977100266)","(-13, -13)",0.035603327306875994,3.6385288320063798
,,39,"(-0.16129861930423417, -0.956830585102459, 72.16766647864607, 72.17429927548885)","(39, 39)",0.013444697039588005,4.5453832046679645
,,-211,"(0.04621849359196474, 0.21224758509958624, 1.2554304168867085, 1.2817060907535907)","(1, 2101)",0.17132922887711058,1.3563860438695976
,,2212,"(1.231504340863025, -0.218143224149406, 6.739075930310388, 6.918069412429714)","(1, 2101)",0.18349794668420633,6.107868282613886
,,-2112,"(0.29573781668103893, -0.23804182901731813, 2.7074619773842103, 2.8908937912795056)","(1, 2101)",0.13931075036429807,5.605458644862841
,,-211,"(-0.0515277890672462, -0.11181145271255752, 0.7501846261395926, 0.7729253988581637)","(1, 2101)",0.16266088836641668,4.280552742434972
,,2212,"(-0.11834175870911987, 1.2702485929876268, 3.7105656009354986, 4.034375283930242)","(1, 2101)",0.3311544912784695,1.6636924307088372
,,22,"(0.12708749739415232, 0.19554547768595845, 0.8274632763429755, 0.8597003777675043)","(111, 90)",0.27471726827441423,0.9944824506490805
,,22,"(0.2533897970843011, 0.7268636569444615, 2.194179612306568, 2.3252873663517155)","(111, 90)",0.337406064028587,1.2353629790768894
,,,,,,
,,-13,"(1.2938437151622586, 2.546039037525251, 30.681426620235975, 30.814241023078797)","(-13, 90)",0.09281595693788766,1.1006269025145055
,,39,"(3.0915039646319675, -4.033135161090785, 52.00936703110526, 52.257187868165445)","(39, 39)",0.09739805417216907,5.3663832618743506
,,22,"(1.9410981476793724e-05, 2.0582047530600953e-05, 0.00025260211890592525, 0.0002541815047524259)","(22, 22)",0.11153528474626603,0.8146715531859827
,,2112,"(-1.2599671904393006, 0.06822837288912176, 21.11584178066326, 21.174365122070483)","(1, 2103)",0.059685730471304425,3.087494577605717
,,-2212,"(-0.3386194675303611, 0.4233942105315034, 4.3391375686791935, 4.472403295111625)","(1, 2103)",0.12429986438836203,2.2453991409682246
,,2212,"(-1.4861582433500535, 0.49563138032405796, 5.416548531699093, 5.716088293456535)","(2214, 90)",0.28154659917728597,2.81969355622691
,,22,"(-1.2987599411995454, 0.5501816605961936, 24.480515350214123, 24.52111557528716)","(221, 90)",0.057553143204078144,2.7408908229448126
,,22,"(-0.06531556042990037, -0.08591391162545732, 3.660845307509593, 3.6624357589123764)","(221, 90)",0.02947174897359247,4.062363702380303
,,22,"(0.011362182720835997, -0.015540276671506873, 0.0007796631585150343, 0.019266739990184873)","(111, 90)",1.5303184822347387,5.343712741101854
,,22,"(0.05209112945257204, 0.05109410547408738, 0.4760372169091397, 0.4815968493090887)","(111, 90)",0.15209498772658542,0.7757359965917453
,,,,,,
,,-13,"(-0.15509774783649824, -1.237829273958188, 30.54019974389543, 30.565850896964772)","(-13, -13)",0.040825371816716714,4.587740409844182
,,39,"(-0.2446455167676093, 3.699435801234454, 79.96417215374707, 80.05017397752476)","(39, 39)",0.046331536936176254,1.6368306713254697
,,321,"(-0.12100652028944914, -1.3876661617408956, 13.626599444298115, 13.706501826218787)","(1, 2101)",0.10186772161834885,4.625407543206256
,,2112,"(0.6712131010505202, -0.17577469121488154, 2.307293233684999, 2.5860815184758037)","(1, 2101)",0.29211636252245415,6.027060716138648
,,-211,"(0.08311673041880224, -0.9731700637973528, 5.430013398592093, 5.5189214215946665)","(-213, 90)",0.17796996410951355,4.797590440354747
,,211,"(0.1328488820397387, -0.17794720963278327, 0.22226557621636883, 0.34379616947560165)","(333, 90)",0.7849526860270168,5.353687064222028
,,-211,"(-0.029236397920066513, -0.2202627275136072, 0.1257301205369151, 0.2909609668070637)","(333, 90)",1.0558612316612275,4.580426157916465
,,22,"(-0.34899986865385874, -0.09300895355198799, 2.997199885817596, 3.0188836892643365)","(111, 90)",0.11992779056014924,3.4020407442658693
,,22,"(0.01162522547608836, 0.004806167283140174, 0.12325774422491814, 0.1238980089538923)","(111, 90)",0.10170676129102771,0.3920264340887888
,,211,"(0.23128714787747023, 0.07083698438227834, 2.0118866684562238, 2.03117684477289)","(310, 90)",0.11965694100046298,0.297201762207001
,,-211,"(-0.10430637685140093, 0.2653702172556904, 3.7013281931248643, 3.7149174083119494)","(310, 90)",0.0768836350329138,1.9453055324885034
,,22,"(-0.10787970555671583, 0.16199268284681395, 0.5533780236449245, 0.5866062539899101)","(111, 90)",0.3381948062335315,2.158305513622838
,,22,"(-0.018918952987020073, 0.06321722840731897, 0.5774274860529575, 0.5811857245313813)","(111, 90)",0.11378473554564296,1.8615822899004761
,,,,,,
,,-13,"(-1.817159097429295, -1.876288737568299, 62.69148826828325, 62.74596713686062)","(14, 2)",0.04164021170657425,3.942998783510369
