Energy,Cross_section_pb,pid,momentum,parent_pids,theta,phi
35.716747,0.00014472,,,,,
,,-13,"(1.5424657784487468, -0.6665906356569167, 10.254653479055293, 10.391950046277735)","(14, 2)",0.16241785019401092,5.87526649127863
,,39,"(0.2561675439475436, 0.5302132389136079, 9.655821794043906, 9.674579646123178)","(39, 39)",0.06090881427854274,1.12072697501183
,,-211,"(-2.2066969400429426, 0.08322560217675065, 8.574999170824647, 8.855875363316487)","(1, 2101)",0.2520471937044049,3.1038955082934896
,,2212,"(-0.2005110244771482, -0.18543162179321265, 2.314442724130837, 2.5122868613038416)","(1, 2101)",0.11745968561645821,3.887939065413418
,,211,"(0.199915381567438, 0.07851026642423473, 1.0936961240194614, 1.1232902644982055)","(213, 90)",0.1939114659191811,0.3742126273239704
,,-211,"(0.27663307929608044, -0.028292017672057565, 0.5628902884982959, 0.6431574928510765)","(-213, 90)",0.4588478998898141,6.181266946143198
,,22,"(0.037105511798137175, 0.44675829175947523, 0.5183001651463552, 0.6852772077432487)","(111, 90)",0.7131016052952797,1.4879315108892233
,,22,"(-0.013832265571795491, 0.031217356068054702, 0.11457071544766759, 0.11955042337406722)","(111, 90)",0.2896413178468256,1.9878935360305987
,,22,"(0.032648988392505386, -0.11163175536674563, 0.5260543776739484, 0.5387585855642953)","(111, 90)",0.21759495042187463,4.996923685156869
,,22,"(0.07610394664142973, -0.17797872485319027, 2.0988161032682338, 2.107723243818511)","(111, 90)",0.09196666100497741,5.116460946969106
,,,,,,
,,-13,"(0.7439169336153669, -2.1911508390767227, 10.580917880199005, 10.831506895479562)","(14, 2)",0.21530495605029443,5.039687914622542
,,39,"(0.3337668586101392, -0.20357174386430366, 11.370046368325607, 11.377462155957147)","(39, 39)",0.03437064884052575,5.735502155865204
,,-211,"(0.1126707393559574, -0.08395348611458227, 0.5803536908563156, 0.6132153575444417)","(1, 2103)",0.23753900701051617,5.6428132098978745
,,211,"(-0.18583583855302555, 0.6691994710512925, 1.7776275478908472, 1.9135836472091987)","(1, 2103)",0.3724656713216069,1.8416697838227314
,,2112,"(0.28397099130268094, 0.10420867042614634, 2.2506782736815567, 2.4576092951109216)","(2114, 90)",0.13359802742789859,0.3517116429381118
,,211,"(-0.3120523936028712, 0.5455712423994795, 3.0164920569962517, 3.084433301549584)","(223, 90)",0.20541891340587556,2.0903532758430763
