Energy,Cross_section_pb,pid,momentum,parent_pids,theta,phi
71.264279,0.0011078,,,,,
,,-13,"(-0.043159138001082044, 2.174358771941082, 21.0047532701054, 21.117303870378763)","(14, 2)",0.103170236813994,1.59064285434825
,,39,"(-0.31893315571736686, 1.161670924078365, 34.04677603148572, 34.06831379380805)","(39, 39)",0.035367646488737366,1.838741249214824
,,-211,"(-0.4967846543601646, -1.0024201538517128, 3.929564159228711, 4.088104135666151)","(1, 2101)",0.27736656371940505,4.252279395002569
,,2212,"(0.39660292618031234, -1.2260759229866693, 3.892821422240148, 4.206538394967317)","(1, 2101)",0.31967264392461087,5.025239487252929
,,211,"(0.6897712453089477, -1.1853672556784678, 4.879589138885635, 5.0705768755557195)","(213, 90)",0.27399031138131574,5.239397137653134
,,-211,"(0.1051997665965028, 0.08185662403114467, 0.2446468894503939, 0.31160773932540275)","(-213, 90)",0.49887727596672776,0.6612479663730023
,,22,"(0.08754735836052885, 0.02523597283683888, 0.8014999865251203, 0.8066620250642128)","(111, 90)",0.11319094403770555,0.2806471370210332
,,22,"(0.03448871030837483, -0.09355270509127014, 0.5942470745551965, 0.6025538692814433)","(111, 90)",0.16623941208609713,5.065585696211496
,,22,"(-0.06620613582791304, -0.03788265208695258, 0.26220808604361084, 0.27307769615451716)","(111, 90)",0.28309360134251205,3.661314436908011
,,22,"(-0.38852692284814283, 0.10217639680765062, 1.603112915832143, 1.6526839403679932)","(111, 90)",0.24554188710315905,2.8844314993932922
,,,,,,
,,-13,"(-0.6035088878945147, -0.420187491923408, 27.58591440531562, 27.595916692857596)","(14, -3)",0.02665141589055386,3.7497911855587627
,,39,"(-1.3215120349818994, -0.6332161294889264, 29.11246877072263, 29.14959765713935)","(39, 39)",0.050292900352857786,3.5884299604482526
,,2112,"(0.09229562375338098, 0.0699982592365493, 0.6836217794029544, 1.16771090627528)","(3122, 90)",0.167851874070718,0.6488641229385547
,,22,"(-0.01580439689256057, -0.016737580858439183, 0.07311776616873393, 0.07665594108505884)","(111, 90)",0.30501171308254205,3.955659274196337
,,22,"(0.14181798794396672, 0.10972491928060672, 1.1105875370787492, 1.1249695894246443)","(111, 90)",0.16007326744792952,0.6584988827846983
