Energy,Cross_section_pb,Total_events,pid,momentum,parent_pids,theta,phi
56.607229,0.1047325653424288,996272.0,,,,,
,,,-13,"(-0.29601804099123724, -0.021317698857560376, 1.5557368585989841, 1.5873129287195726)","(421, 90)",0.18850298079278843,3.213483410116662
,,,14,"(-0.9624481217573833, 0.23469522601889523, 14.677991888471647, 14.711384507048606)","(421, 90)",0.06739002937686753,2.902408340812905
,,,-211,"(-0.09432584622378179, 0.12376214482270562, 0.5810958728224218, 0.6175488904274712)","(421, 90)",0.26164798389811705,2.2220308912357942
,,,11,"(-0.17727327747286245, -0.1681527533497374, 0.21939576689963908, 0.32838381053204924)","(-411, 90)",0.8391324991577797,3.900593253624867
,,,-12,"(0.4784959771248093, 0.22893133584826103, 5.340117872299821, 5.366397939653178)","(-411, 90)",0.09900661009889646,0.44625084816426747
,,,22,"(0.03334671770365951, -0.08033775456162376, 0.32012088159150404, 0.33172810737188513)","(111, 90)",0.26531549712847785,5.105828687381608
,,,22,"(0.021024313757660007, 0.054855779202826443, 0.15156668757879116, 0.16255349600834998)","(111, 90)",0.36976825847842837,1.2047991756593437
,,,211,"(-0.038454136798282974, -0.10230064341741872, 2.8940939008335493, 2.899517793361935)","(310, 90)",0.03774492389475633,4.3528352844258515
,,,-211,"(-0.013104988306354561, 0.13827666193162572, 0.6290096473136845, 0.6591093211805976)","(310, 90)",0.21732983958133753,1.6652877736885332
,,,22,"(0.14490652283664665, -0.08270590265377131, 0.42910648465597073, 0.4604025867305565)","(111, 90)",0.3708366138599461,5.764548253559163
,,,22,"(0.028818628666078455, -0.0662436998543037, 0.05139347466944153, 0.08865681229989562)","(111, 90)",0.952448032832067,5.12273238375454
,,,22,"(0.27164787184583433, 0.17784004255157457, 0.7895315036558527, 0.8536859154737111)","(111, 90)",0.39015505335022244,0.57965202188292
,,,22,"(0.018882908776678142, 0.09167681436105839, 0.2534172997334796, 0.27015093991964667)","(111, 90)",0.3538136791523733,1.3676645656023094
,,,,,,,
,,,14,"(1.9598009075823946, -0.9400377512015269, 9.859054151648346, 10.095812960637655)","(14, 14)",0.21699504783007403,5.835941847642262
,,,2212,"(-1.101877539062612, 0.20689695513485198, 10.603113131697636, 10.703424645299915)","(2224, 90)",0.10534483623572043,2.9559861569781924
,,,211,"(-0.27342189768124775, 0.20416124402414382, 1.4916938698616509, 1.536577929678781)","(2224, 90)",0.22488727580802714,2.500213671375231
,,,-13,"(-0.29601804099123724, -0.021317698857560376, 1.5557368585989841, 1.5873129287195726)","(421, 90)",0.18850298079278843,3.213483410116662
,,,14,"(-0.9624481217573833, 0.23469522601889523, 14.677991888471647, 14.711384507048606)","(421, 90)",0.06739002937686753,2.902408340812905
,,,-211,"(-0.09432584622378179, 0.12376214482270562, 0.5810958728224218, 0.6175488904274712)","(421, 90)",0.26164798389811705,2.2220308912357942
,,,11,"(-0.17727327747286245, -0.1681527533497374, 0.21939576689963908, 0.32838381053204924)","(-411, 90)",0.8391324991577797,3.900593253624867
,,,-12,"(0.4784959771248093, 0.22893133584826103, 5.340117872299821, 5.366397939653178)","(-411, 90)",0.09900661009889646,0.44625084816426747
,,,22,"(0.03334671770365951, -0.08033775456162376, 0.32012088159150404, 0.33172810737188513)","(111, 90)",0.26531549712847785,5.105828687381608
,,,22,"(0.021024313757660007, 0.054855779202826443, 0.15156668757879116, 0.16255349600834998)","(111, 90)",0.36976825847842837,1.2047991756593437
,,,211,"(-0.038454136798282974, -0.10230064341741872, 2.8940939008335493, 2.899517793361935)","(310, 90)",0.03774492389475633,4.3528352844258515
,,,-211,"(-0.013104988306354561, 0.13827666193162572, 0.6290096473136845, 0.6591093211805976)","(310, 90)",0.21732983958133753,1.6652877736885332
,,,22,"(0.14490652283664665, -0.08270590265377131, 0.42910648465597073, 0.4604025867305565)","(111, 90)",0.3708366138599461,5.764548253559163
,,,22,"(0.028818628666078455, -0.0662436998543037, 0.05139347466944153, 0.08865681229989562)","(111, 90)",0.952448032832067,5.12273238375454
,,,22,"(0.27164787184583433, 0.17784004255157457, 0.7895315036558527, 0.8536859154737111)","(111, 90)",0.39015505335022244,0.57965202188292
,,,22,"(0.018882908776678142, 0.09167681436105839, 0.2534172997334796, 0.27015093991964667)","(111, 90)",0.3538136791523733,1.3676645656023094
,,,,,,,
,,,14,"(1.9598009075823946, -0.9400377512015269, 9.859054151648346, 10.095812960637655)","(14, 14)",0.21699504783007403,5.835941847642262
,,,2212,"(-1.101877539062612, 0.20689695513485198, 10.603113131697636, 10.703424645299915)","(2224, 90)",0.10534483623572043,2.9559861569781924
,,,211,"(-0.27342189768124775, 0.20416124402414382, 1.4916938698616509, 1.536577929678781)","(2224, 90)",0.22488727580802714,2.500213671375231
,,,-13,"(-0.29601804099123724, -0.021317698857560376, 1.5557368585989841, 1.5873129287195726)","(421, 90)",0.18850298079278843,3.213483410116662
,,,14,"(-0.9624481217573833, 0.23469522601889523, 14.677991888471647, 14.711384507048606)","(421, 90)",0.06739002937686753,2.902408340812905
,,,-211,"(-0.09432584622378179, 0.12376214482270562, 0.5810958728224218, 0.6175488904274712)","(421, 90)",0.26164798389811705,2.2220308912357942
,,,11,"(-0.17727327747286245, -0.1681527533497374, 0.21939576689963908, 0.32838381053204924)","(-411, 90)",0.8391324991577797,3.900593253624867
,,,-12,"(0.4784959771248093, 0.22893133584826103, 5.340117872299821, 5.366397939653178)","(-411, 90)",0.09900661009889646,0.44625084816426747
,,,22,"(0.03334671770365951, -0.08033775456162376, 0.32012088159150404, 0.33172810737188513)","(111, 90)",0.26531549712847785,5.105828687381608
,,,22,"(0.021024313757660007, 0.054855779202826443, 0.15156668757879116, 0.16255349600834998)","(111, 90)",0.36976825847842837,1.2047991756593437
,,,211,"(-0.038454136798282974, -0.10230064341741872, 2.8940939008335493, 2.899517793361935)","(310, 90)",0.03774492389475633,4.3528352844258515
,,,-211,"(-0.013104988306354561, 0.13827666193162572, 0.6290096473136845, 0.6591093211805976)","(310, 90)",0.21732983958133753,1.6652877736885332
,,,22,"(0.14490652283664665, -0.08270590265377131, 0.42910648465597073, 0.4604025867305565)","(111, 90)",0.3708366138599461,5.764548253559163
,,,22,"(0.028818628666078455, -0.0662436998543037, 0.05139347466944153, 0.08865681229989562)","(111, 90)",0.952448032832067,5.12273238375454
,,,22,"(0.27164787184583433, 0.17784004255157457, 0.7895315036558527, 0.8536859154737111)","(111, 90)",0.39015505335022244,0.57965202188292
,,,22,"(0.018882908776678142, 0.09167681436105839, 0.2534172997334796, 0.27015093991964667)","(111, 90)",0.3538136791523733,1.3676645656023094
,,,,,,,
,,,14,"(1.9598009075823946, -0.9400377512015269, 9.859054151648346, 10.095812960637655)","(14, 14)",0.21699504783007403,5.835941847642262
,,,2212,"(-1.101877539062612, 0.20689695513485198, 10.603113131697636, 10.703424645299915)","(2224, 90)",0.10534483623572043,2.9559861569781924
,,,211,"(-0.27342189768124775, 0.20416124402414382, 1.4916938698616509, 1.536577929678781)","(2224, 90)",0.22488727580802714,2.500213671375231
,,,-13,"(-0.29601804099123724, -0.021317698857560376, 1.5557368585989841, 1.5873129287195726)","(421, 90)",0.18850298079278843,3.213483410116662
,,,14,"(-0.9624481217573833, 0.23469522601889523, 14.677991888471647, 14.711384507048606)","(421, 90)",0.06739002937686753,2.902408340812905
,,,-211,"(-0.09432584622378179, 0.12376214482270562, 0.5810958728224218, 0.6175488904274712)","(421, 90)",0.26164798389811705,2.2220308912357942
,,,11,"(-0.17727327747286245, -0.1681527533497374, 0.21939576689963908, 0.32838381053204924)","(-411, 90)",0.8391324991577797,3.900593253624867
,,,-12,"(0.4784959771248093, 0.22893133584826103, 5.340117872299821, 5.366397939653178)","(-411, 90)",0.09900661009889646,0.44625084816426747
,,,22,"(0.03334671770365951, -0.08033775456162376, 0.32012088159150404, 0.33172810737188513)","(111, 90)",0.26531549712847785,5.105828687381608
,,,22,"(0.021024313757660007, 0.054855779202826443, 0.15156668757879116, 0.16255349600834998)","(111, 90)",0.36976825847842837,1.2047991756593437
,,,211,"(-0.038454136798282974, -0.10230064341741872, 2.8940939008335493, 2.899517793361935)","(310, 90)",0.03774492389475633,4.3528352844258515
,,,-211,"(-0.013104988306354561, 0.13827666193162572, 0.6290096473136845, 0.6591093211805976)","(310, 90)",0.21732983958133753,1.6652877736885332
,,,22,"(0.14490652283664665, -0.08270590265377131, 0.42910648465597073, 0.4604025867305565)","(111, 90)",0.3708366138599461,5.764548253559163
,,,22,"(0.028818628666078455, -0.0662436998543037, 0.05139347466944153, 0.08865681229989562)","(111, 90)",0.952448032832067,5.12273238375454
