PdfType: central
Format: lhagrid1
---
5.000000e-06 6.469340e-06 8.370580e-06 1.083050e-05 1.401320e-05 1.813100e-05 2.345850e-05 3.035090e-05 3.926760e-05 5.080240e-05 6.572330e-05 8.502270e-05 1.099830e-04 1.422610e-04 1.839950e-04 2.379440e-04 3.076670e-04 3.977440e-04 5.140700e-04 6.642160e-04 8.578820e-04 1.107470e-03 1.428790e-03 1.847940e-03 2.379570e-03 3.060350e-03 3.929800e-03 5.036510e-03 6.439470e-03 8.208290e-03 1.042490e-02 1.318030e-02 1.657460e-02 2.071300e-02 2.570030e-02 3.166080e-02 3.860010e-02 4.666620e-02 5.587900e-02 6.626100e-02 7.781050e-02 9.050080e-02 1.042750e-01 1.191680e-01 1.349350e-01 1.516740e-01 1.692700e-01 1.876580e-01 2.067780e-01 2.265720e-01 2.469860e-01 2.679650e-01 2.894600e-01 3.112310e-01 3.336210e-01 3.564040e-01 3.795630e-01 4.031000e-01 4.269440e-01 4.510730e-01 4.754690e-01 5.001130e-01 5.249900e-01 5.500860e-01 5.753850e-01 6.009230e-01 6.264810e-01 6.523530e-01 6.783700e-01 7.045280e-01 7.308230e-01 7.572480e-01 7.837670e-01 8.105000e-01 8.372600e-01 8.641380e-01 8.911230e-01 9.182080e-01 9.453860e-01 9.726560e-01 1.000000e+00
1.300000e+00 1.494260e+00 1.736730e+00 2.042900e+00 2.434360e+00 2.941690e+00 3.608810e+00 4.500000e+00 5.866040e+00 7.828770e+00 1.071920e+01 1.509180e+01 2.190300e+01 3.285630e+01 5.109270e+01 8.262520e+01 1.394400e+02 2.465070e+02 4.583780e+02 9.005800e+02 1.878640e+03 4.183110e+03 1.000000e+04
-5  -4  -3  -2  -1  1  2  3  4  5  21
0.00000000e+00 0.00000000e+00 8.82270000e-02 2.80436357e-01 2.80435643e-01 2.81472464e-01 2.81362536e-01 8.82270000e-02 0.00000000e+00 0.00000000e+00 6.59815000e-03
0.00000000e+00 5.09630000e-02 1.38573500e-01 3.29428339e-01 3.29427161e-01 3.30556000e-01 3.30439000e-01 1.38573500e-01 5.09630000e-02 0.00000000e+00 1.30980500e+00
0.00000000e+00 1.26397500e-01 2.13421000e-01 4.02985821e-01 4.02984179e-01 4.04206500e-01 4.04082500e-01 2.13421000e-01 1.26397500e-01 0.00000000e+00 3.35642000e+00
0.00000000e+00 2.29930000e-01 3.16391000e-01 5.04716071e-01 5.04713929e-01 5.06033036e-01 5.05901964e-01 3.16391000e-01 2.29930000e-01 0.00000000e+00 6.31055000e+00
0.00000000e+00 3.65886000e-01 4.51804500e-01 6.38938750e-01 6.38936250e-01 6.40351607e-01 6.40213393e-01 4.51804500e-01 3.65886000e-01 0.00000000e+00 1.03531500e+01
0.00000000e+00 5.39125000e-01 6.24520000e-01 8.10494107e-01 8.10490893e-01 8.12005179e-01 8.11859821e-01 6.24520000e-01 5.39125000e-01 0.00000000e+00 1.56781000e+01
0.00000000e+00 7.55060000e-01 8.39945000e-01 1.02479179e+00 1.02478821e+00 1.02640643e+00 1.02625357e+00 8.39945000e-01 7.55060000e-01 0.00000000e+00 2.24919000e+01
0.00000000e+00 1.01968500e+00 1.10406500e+00 1.28781714e+00 1.28781286e+00 1.28953768e+00 1.28937732e+00 1.10406500e+00 1.01968500e+00 0.00000000e+00 3.10133500e+01
3.68238500e-01 1.37753500e+00 1.46138500e+00 1.64394982e+00 1.64394518e+00 1.64579196e+00 1.64562304e+00 1.46138500e+00 1.37753500e+00 3.68238500e-01 4.19977500e+01
8.15265000e-01 1.81430000e+00 1.89761500e+00 2.07901018e+00 2.07900482e+00 2.08097893e+00 2.08080107e+00 1.89761500e+00 1.81430000e+00 8.15265000e-01 5.56160000e+01
1.35252500e+00 2.34141000e+00 2.42420500e+00 2.60444054e+00 2.60443446e+00 2.60654089e+00 2.60635411e+00 2.42420500e+00 2.34141000e+00 1.35252500e+00 7.22265000e+01
1.99295500e+00 2.97179000e+00 3.05406500e+00 3.23315589e+00 3.23314911e+00 3.23539321e+00 3.23519679e+00 3.05406500e+00 2.97179000e+00 1.99295500e+00 9.22130000e+01
2.75057000e+00 3.71945500e+00 3.80122000e+00 3.97917125e+00 3.97916375e+00 3.98155554e+00 3.98134946e+00 3.80122000e+00 3.71945500e+00 2.75057000e+00 1.15971000e+02
3.64047500e+00 4.59950000e+00 4.68076000e+00 4.85758161e+00 4.85757339e+00 4.86011554e+00 4.85989946e+00 4.68076000e+00 4.59950000e+00 3.64047500e+00 1.43903000e+02
4.67880500e+00 5.62805000e+00 5.70880000e+00 5.88453036e+00 5.88451964e+00 5.88721429e+00 5.88698571e+00 5.70880000e+00 5.62805000e+00 4.67880500e+00 1.76415000e+02
5.88270000e+00 6.82225000e+00 6.90250000e+00 7.07710357e+00 7.07709643e+00 7.07996786e+00 7.07973214e+00 6.90250000e+00 6.82225000e+00 5.88270000e+00 2.13912000e+02
7.27020000e+00 8.20015000e+00 8.27990000e+00 8.45338036e+00 8.45336964e+00 8.45642500e+00 8.45617500e+00 8.27990000e+00 8.20015000e+00 7.27020000e+00 2.56790000e+02
8.86015000e+00 9.78055000e+00 9.85985000e+00 1.00322304e+01 1.00322196e+01 1.00354554e+01 1.00351946e+01 9.85985000e+00 9.78055000e+00 8.86015000e+00 3.05434500e+02
1.06721500e+01 1.15831000e+01 1.16619000e+01 1.18332071e+01 1.18331929e+01 1.18366125e+01 1.18363375e+01 1.16619000e+01 1.15831000e+01 1.06721500e+01 3.60212500e+02
1.27263000e+01 1.36279000e+01 1.37062000e+01 1.38764571e+01 1.38764429e+01 1.38800429e+01 1.38797571e+01 1.37062000e+01 1.36279000e+01 1.27263000e+01 4.21468000e+02
1.50433000e+01 1.59355500e+01 1.60134000e+01 1.61825571e+01 1.61825429e+01 1.61863500e+01 1.61860500e+01 1.60134000e+01 1.59355500e+01 1.50433000e+01 4.89517500e+02
1.76438000e+01 1.85268500e+01 1.86042000e+01 1.87723071e+01 1.87722929e+01 1.87763304e+01 1.87760196e+01 1.86042000e+01 1.85268500e+01 1.76438000e+01 5.64645000e+02
2.05488500e+01 2.14227000e+01 2.14996000e+01 2.16666339e+01 2.16666161e+01 2.16708875e+01 2.16705625e+01 2.14996000e+01 2.14227000e+01 2.05488500e+01 6.47095000e+02
0.00000000e+00 0.00000000e+00 8.55926029e-02 2.72054623e-01 2.72053746e-01 2.73258868e-01 2.73132531e-01 8.55926029e-02 0.00000000e+00 0.00000000e+00 7.96860954e-03
0.00000000e+00 4.99665944e-02 1.34964018e-01 3.20114981e-01 3.20113548e-01 3.21425484e-01 3.21291153e-01 1.34964018e-01 4.99665944e-02 0.00000000e+00 1.28680348e+00
0.00000000e+00 1.23112187e-01 2.07542897e-01 3.91444907e-01 3.91442920e-01 3.92862963e-01 3.92720638e-01 2.07542897e-01 1.23112187e-01 0.00000000e+00 3.27349898e+00
0.00000000e+00 2.22690856e-01 3.06578141e-01 4.89281314e-01 4.89278818e-01 4.90809256e-01 4.90658844e-01 3.06578141e-01 2.22690856e-01 0.00000000e+00 6.11629518e+00
0.00000000e+00 3.52586146e-01 4.35948768e-01 6.17495846e-01 6.17492750e-01 6.19135916e-01 6.18977371e-01 4.35948768e-01 3.52586146e-01 0.00000000e+00 9.97740431e+00
0.00000000e+00 5.17146748e-01 6.00002173e-01 7.80430679e-01 7.80426983e-01 7.82184563e-01 7.82017747e-01 6.00002173e-01 5.17146748e-01 0.00000000e+00 1.50290531e+01
0.00000000e+00 7.21202023e-01 8.03569660e-01 9.82905079e-01 9.82900921e-01 9.84776104e-01 9.84600970e-01 8.03569660e-01 7.21202023e-01 0.00000000e+00 2.14533665e+01
0.00000000e+00 9.70084002e-01 1.05196644e+00 1.23023488e+00 1.23022980e+00 1.23222952e+00 1.23204560e+00 1.05196644e+00 9.70084002e-01 0.00000000e+00 2.94417723e+01
3.44969792e-01 1.30511818e+00 1.38648307e+00 1.56360344e+00 1.56359789e+00 1.56574155e+00 1.56554840e+00 1.38648307e+00 1.30511818e+00 3.44969792e-01 3.96787912e+01
7.61797132e-01 1.71212377e+00 1.79297758e+00 1.96896627e+00 1.96895980e+00 1.97124487e+00 1.97104154e+00 1.79297758e+00 1.71212377e+00 7.61797132e-01 5.22988562e+01
1.26053796e+00 2.20114118e+00 2.28149038e+00 2.45635688e+00 2.45634994e+00 2.45879235e+00 2.45857886e+00 2.28149038e+00 2.20114118e+00 1.26053796e+00 6.76097785e+01
1.85249551e+00 2.78347235e+00 2.86331695e+00 3.03707117e+00 3.03706331e+00 3.03966353e+00 3.03943942e+00 2.86331695e+00 2.78347235e+00 1.85249551e+00 8.59380656e+01
2.54983214e+00 3.47127317e+00 3.55062610e+00 3.72328100e+00 3.72327222e+00 3.72604017e+00 3.72580496e+00 3.55062610e+00 3.47127317e+00 2.54983214e+00 1.07616177e+02
3.36558356e+00 4.27757289e+00 4.35644062e+00 4.52800266e+00 4.52799296e+00 4.53093858e+00 4.53069183e+00 4.35644062e+00 4.27757289e+00 3.36558356e+00 1.32978578e+02
4.31360712e+00 5.21622237e+00 5.29460490e+00 5.46508055e+00 5.46506993e+00 5.46819970e+00 5.46794138e+00 5.29460490e+00 5.21622237e+00 4.31360712e+00 1.62361673e+02
5.40848469e+00 6.30181644e+00 6.37971376e+00 6.54911159e+00 6.54910234e+00 6.55241095e+00 6.55214293e+00 6.37971376e+00 6.30181644e+00 5.40848469e+00 1.96092812e+02
6.66549039e+00 7.54959039e+00 7.62702839e+00 7.79539990e+00 7.79538604e+00 7.79889796e+00 7.79861608e+00 7.62702839e+00 7.54959039e+00 6.66549039e+00 2.34490932e+02
8.10051939e+00 8.97549762e+00 9.05241808e+00 9.21975448e+00 9.21974062e+00 9.22342122e+00 9.22312547e+00 9.05241808e+00 8.97549762e+00 8.10051939e+00 2.77860094e+02
9.72988736e+00 1.05958085e+01 1.06722761e+01 1.08385127e+01 1.08384989e+01 1.08424129e+01 1.08421032e+01 1.06722761e+01 1.05958085e+01 9.72988736e+00 3.26484947e+02
1.15702852e+01 1.24271493e+01 1.25031640e+01 1.26683656e+01 1.26683517e+01 1.26725637e+01 1.26722402e+01 1.25031640e+01 1.24271493e+01 1.15702852e+01 3.80627501e+02
1.36385979e+01 1.44865343e+01 1.45620962e+01 1.47262626e+01 1.47262487e+01 1.47306641e+01 1.47303221e+01 1.45620962e+01 1.44865343e+01 1.36385979e+01 4.40521297e+02
1.59518398e+01 1.67909132e+01 1.68660222e+01 1.70291235e+01 1.70291051e+01 1.70337884e+01 1.70334326e+01 1.68660222e+01 1.67909132e+01 1.59518398e+01 5.06368827e+02
1.85267665e+01 1.93570416e+01 1.94316978e+01 1.95937640e+01 1.95937455e+01 1.95987269e+01 1.95983572e+01 1.94316978e+01 1.93570416e+01 1.85267665e+01 5.78339588e+02
0.00000000e+00 0.00000000e+00 8.30392507e-02 2.63927885e-01 2.63926749e-01 2.65327894e-01 2.65182725e-01 8.30392507e-02 0.00000000e+00 0.00000000e+00 9.62373953e-03
0.00000000e+00 4.90034680e-02 1.31466655e-01 3.11083009e-01 3.11081276e-01 3.12606126e-01 3.12451868e-01 1.31466655e-01 4.90034680e-02 0.00000000e+00 1.26490346e+00
0.00000000e+00 1.19930322e-01 2.01844818e-01 3.80249859e-01 3.80247468e-01 3.81897309e-01 3.81733963e-01 2.01844818e-01 1.19930322e-01 0.00000000e+00 3.19362739e+00
0.00000000e+00 2.15690594e-01 2.97079418e-01 4.74322533e-01 4.74319483e-01 4.76097275e-01 4.75924782e-01 2.97079418e-01 2.15690594e-01 0.00000000e+00 5.92902411e+00
0.00000000e+00 3.39760168e-01 4.20642571e-01 5.96764776e-01 5.96761069e-01 5.98669771e-01 5.98488070e-01 4.20642571e-01 3.39760168e-01 0.00000000e+00 9.61570378e+00
0.00000000e+00 4.96021318e-01 5.76413206e-01 7.51449657e-01 7.51445292e-01 7.53487923e-01 7.53296834e-01 5.76413206e-01 4.96021318e-01 0.00000000e+00 1.44059356e+01
0.00000000e+00 6.88771501e-01 7.68687103e-01 9.42668113e-01 9.42662732e-01 9.44841475e-01 9.44641178e-01 7.68687103e-01 6.88771501e-01 0.00000000e+00 2.04595390e+01
0.00000000e+00 9.22722516e-01 1.00217606e+00 1.17512360e+00 1.17511763e+00 1.17743957e+00 1.17722970e+00 1.00217606e+00 9.22722516e-01 0.00000000e+00 2.79428376e+01
3.23039935e-01 1.23620074e+00 1.31515205e+00 1.48699079e+00 1.48698421e+00 1.48946668e+00 1.48924606e+00 1.31515205e+00 1.23620074e+00 3.23039935e-01 3.74745844e+01
7.11515204e-01 1.61522060e+00 1.69367805e+00 1.86442084e+00 1.86441306e+00 1.86706504e+00 1.86683306e+00 1.69367805e+00 1.61522060e+00 7.11515204e-01 4.91575703e+01
1.17422496e+00 2.06857958e+00 2.14655154e+00 2.31620227e+00 2.31619390e+00 2.31902375e+00 2.31877981e+00 2.14655154e+00 2.06857958e+00 1.17422496e+00 6.32545478e+01
1.72099962e+00 2.60609638e+00 2.68358284e+00 2.85216661e+00 2.85215765e+00 2.85516986e+00 2.85491336e+00 2.68358284e+00 2.60609638e+00 1.72099962e+00 8.00404067e+01
