ievent,iparticle,truth_energy,pid,px,py,pz,e,parent_pid
0,0,89.716412,13,-0.3711980720807755,-1.83396964001114,57.418615277014474,57.44919300577337,3
0,1,89.716412,-211,-0.6448264615786085,0.38376705587334686,3.533403495569506,3.614899495992731,8
0,2,89.716412,211,0.28674707147980083,0.03398972423554589,0.03537522806539732,0.3226613952993588,8
0,3,89.716412,211,-0.45584411776522893,1.221408832037472,9.583118716480735,9.672397712756835,10
0,4,89.716412,2212,1.0778900681568486,-0.7118581560421209,3.264376126558992,3.633880999964522,13
0,5,89.716412,22,0.0694164176297744,0.5787844259909511,5.910313417625157,5.938991054494542,11
0,6,89.716412,22,0.1285315229756553,0.35475792276680673,4.564029219511412,4.579600010122959,11
0,7,89.716412,22,-0.07259163593523882,-0.025000516436134684,0.8661983180757982,0.8695942143708002,16
0,8,89.716412,22,-0.05808392431296883,-0.07107899594316422,4.190048378541204,4.191053731514742,16
0,9,89.716412,22,-0.0395599314305335,0.015275912713509629,0.04077063714459726,0.058826750183872026,18
0,10,89.716412,22,0.07951906286127539,0.053923434814935,0.33147599410763195,0.3451193313192103,18
1,0,89.716412,13,1.5246549743030624,2.26694514725899,76.9198162433165,76.96838901804122,3
1,1,89.716412,211,-0.395691460034708,-0.4496613956983248,6.616546573277113,6.645068505558905,8
1,2,89.716412,-211,0.10710904012490619,-0.3646557825370742,1.5069126061205207,1.5603562329157865,8
1,3,89.716412,2212,-0.9622058988583279,-1.2104628170940226,2.1374600255628926,2.800026138653759,13
1,4,89.716412,211,0.029314749341769697,-0.08067335476902274,0.052379728248209995,0.17202024744202563,13
1,5,89.716412,22,-0.1771667870024405,-0.1616741422857837,1.8382605166889867,1.853841505069479,11
1,6,89.716412,22,-0.1260146178742629,0.00018234512524058222,0.7285661416439694,0.7393837568662985,11
2,0,89.716412,13,-0.42786646673635187,1.5954664475946267,9.882548732455827,10.020205406263981,3
2,1,89.716412,211,-0.3362190112860415,-0.036293517177253,7.238087688835023,7.247327343173095,8
2,2,89.716412,-211,-0.41869232618439167,-0.37673670768154516,1.7029951176509126,1.799140340986015,8
2,3,89.716412,2212,0.39141596518958843,0.09637972097279011,4.834368301381013,4.941048772752363,8
2,4,89.716412,211,0.22509794307053596,0.2013061522245016,0.29858290302869056,0.447017657122245,16
2,5,89.716412,22,0.2595609285153157,-0.7809085602893298,14.586597742638855,14.60979205056328,10
2,6,89.716412,22,0.27685886360442746,-0.5513909176531118,9.672204188093048,9.691863424057907,10
2,7,89.716412,22,0.08469115161382132,0.08826415570345442,28.058155643573397,28.058422287636436,11
2,8,89.716412,22,0.0599336443897277,-0.03372919373559674,7.128739979079918,7.129071706019812,11
2,9,89.716412,22,0.3536082307905903,-0.05281239546870478,2.350091213267562,2.377132020034941,13
2,10,89.716412,22,0.34223612145356785,-0.1454197157207407,3.2081128409263844,3.229591376113182,13
2,11,89.716412,22,-0.5154538393580661,0.04913360823464803,0.5568311072321546,0.7603733648336942,18
2,12,89.716412,22,-0.29517120506272554,-0.053259077003737346,0.23770652315453866,0.3827100217288421,18
3,0,89.716412,13,-1.502094154519092,2.6196875766148806,25.855107385979515,26.031073581860642,3
3,1,89.716412,2212,0.5240128801250697,-0.956212651131795,27.581953452974066,27.619439512916426,8
3,2,89.716412,-2112,0.38398867465472775,-0.5844253983446008,17.24465821501793,17.284386858843988,8
3,3,89.716412,321,0.11017657453463897,-0.667125897201848,0.4210876346732708,0.9371395727255839,8
3,4,89.716412,321,0.004230372100526653,-0.14184052192268726,4.4004250478932,4.430304411012101,12
3,5,89.716412,-211,0.028087439907513737,0.11475956194103593,6.7672325076765025,6.769702671402272,12
3,6,89.716412,2212,0.15494409095330386,-0.1826207433230565,4.810125014711765,4.906629317287895,17
3,7,89.716412,-211,0.10954847678562138,-0.12890446445662113,1.0088502984478427,1.0324126787778225,17
3,8,89.716412,22,0.04198904691717703,0.03611813789411107,0.2663261115986517,0.27202425933215674,18
3,9,89.716412,22,0.1451165985405126,-0.10943560006941702,1.4222247601969291,1.4337915630424583,18
4,0,89.716412,13,-1.2359063491627353,-1.8257519843166956,69.09973593877216,69.13498033308304,3
4,1,89.716412,2212,0.9151481558397412,0.19971115172595522,4.941895870781072,5.116645979721827,11
4,2,89.716412,211,-0.024469555756086697,0.2724751177951246,1.0186363504471105,1.0639272758645553,11
4,3,89.716412,22,0.8413455990527063,1.6610112995697068,10.444061836065552,10.608734542343143,10
4,4,89.716412,22,0.22699236124114203,0.3816377278412731,2.847430132050503,2.881845111084707,10
4,5,89.716412,211,-0.2982926889120501,-0.22220202491138066,0.15100670339533626,0.4250118557210209,12
4,6,89.716412,-211,-0.020383963471954758,-0.1526107854516497,0.5089180533651697,0.5497116769216287,12
4,7,89.716412,22,-0.12371949990996514,-0.1466344358694604,0.36748168604544135,0.4145491068854534,19
4,8,89.716412,22,-0.28071405892079115,-0.1676360663828695,0.3753724489332823,0.4978018773028854,19
5,0,89.716412,13,-0.411750952383544,0.35138266453635775,49.67219633452239,49.67525804014173,3
5,1,89.716412,211,0.7998215692757075,-0.9114255913464959,30.849510684320585,30.873648964742568,8
5,2,89.716412,321,-0.5346245932706979,0.3512558955438426,2.2036869216133925,2.3471600181440713,13
5,3,89.716412,-211,0.12912979153065468,0.08264875165910078,0.5956481557092635,0.6306994763842801,13
5,4,89.716412,211,-0.37335449304931817,0.042025502033750925,0.21919611307462006,0.45682211109831755,15
5,5,89.716412,22,0.25175654980595025,0.1502398310164763,1.6393987983439915,1.6654073937645948,10
5,6,89.716412,22,0.014419871957677083,-0.026165612452274382,0.14985352593912799,0.15280265448828867,10
5,7,89.716412,22,0.019763988685541103,0.006399684599312393,0.17220748282969361,0.17345601273600253,11
5,8,89.716412,22,-0.2288857279175592,0.05830566134631763,1.6897302786437138,1.7061584455011074,11
5,9,89.716412,2112,-0.03188505402016188,0.08896741389862235,1.5273784606596916,1.7957195227520493,14
5,10,89.716412,22,0.30340069262964686,-0.08909232593274997,0.38393574933654806,0.49738926651755705,19
5,11,89.716412,22,0.05976623070191133,-0.09119202233893803,0.09657655925638368,0.14565376434675908,19
5,12,89.716412,22,-0.038276547066367725,-0.06158203277965617,0.28318140402785585,0.2923168630164641,25
5,13,89.716412,22,0.04071867312055319,0.0482321802163337,0.23590661694254353,0.2442054165377896,25
6,0,89.716412,13,-1.9995768051265936,-2.2386042095035448,53.13055171095365,53.21537696335831,3
6,1,89.716412,321,0.09379896049037839,0.5807459053710605,8.552032727138995,8.586445583595738,19
6,2,89.716412,-321,0.802783722228605,1.9229276318772985,15.6485894957239,15.794435271012155,19
6,3,89.716412,211,0.48157438365209315,-0.05029780608524126,1.474027483594513,1.557780653230375,19
6,4,89.716412,2112,0.24923176582425705,-0.5664038633046636,0.9281152736664561,1.4584647940815323,19
6,5,89.716412,211,0.0745532228278704,0.1106377195974759,0.4963281702122041,0.5325601613695362,19
6,6,89.716412,22,0.2938898674865102,0.24805806235093097,3.1503480795433987,3.1737355086382535,24
6,7,89.716412,22,0.003744882616850881,-0.007063440303303387,6.388148652722698,6.388153655448305,24
7,0,89.716412,13,2.818785378593048,-0.659551549263758,53.52217393420587,53.60051143352731,3
7,1,89.716412,2212,-1.3649288731880826,-0.1791439124257767,1.872073532248554,2.5060194079989286,2
7,2,89.716412,211,-1.5013944331129412,-0.5452525779225467,10.553302880372218,10.674416475259257,11
7,3,89.716412,130,0.30811412419062906,0.611214295565731,9.263297132137206,9.301871139668135,14
7,4,89.716412,22,0.2111107459101866,0.030616972883143287,3.9454181922209917,3.9511808181321735,16
7,5,89.716412,22,0.04823562988588436,-0.049880124910455,0.6872560080190961,0.6907499717046064,16
7,6,89.716412,211,-0.35305289903898635,0.7426560994543936,7.1218135340693305,7.170487586665898,18
7,7,89.716412,-211,-0.1668696732397442,0.049340796619269905,2.7993826808487063,2.808256252693804,18
8,0,89.716412,13,-2.2270686162775046,1.3326477639493295,8.770044114810347,9.146618090621635,3
8,1,89.716412,211,0.31478619616885967,-0.26547531202360725,13.174205508956522,13.18137845855709,11
8,2,89.716412,2112,1.7008107103414527,-1.02809393171416,53.79215255223121,53.837052317082275,11
8,3,89.716412,-2212,0.21990215922942016,-0.06566998136653908,6.947192168898472,7.014021608933827,11
