ievent,iparticle,truth_energy,pid,px,py,pz,e,parent_pid
0,0,179.007775,13,2.0837745559700944,-1.4843150596356425,46.80255858755156,46.87255019703074,3
0,1,179.007775,211,-0.18668322704487994,0.8998180684198046,49.93627537802616,49.94492568418213,8
0,2,179.007775,-211,-1.0097554022683752,0.9113038483579508,51.7031603207759,51.721236911129616,8
0,3,179.007775,2212,-0.22156732741779944,-0.15523799843929237,2.1732542066160465,2.382556474926218,8
0,4,179.007775,211,0.3770411256767178,0.25253726100881063,13.927848547421021,13.935938433541075,12
0,5,179.007775,2112,-0.21866338324049045,0.05100102054108722,6.120098881909909,6.195870954798956,13
0,6,179.007775,-211,-0.18802619798105152,0.07148358999728474,1.3536913063826044,1.3756539145591637,13
0,7,179.007775,-2112,-0.3476694440784906,-0.8612341134737735,1.9355607324203346,2.343455861403057,14
0,8,179.007775,211,0.049697622628278745,0.4023470755676103,0.8491435105358336,0.9512504976597015,14
0,9,179.007775,22,-0.28096163855304773,-0.07271046257638894,2.7301256610045113,2.7455076722860943,17
0,10,179.007775,22,-0.05718668369096265,-0.014993229767415375,1.4997610117183453,1.500925782975582,17
1,0,179.007775,13,-0.7555803240805417,0.2938885503227205,57.55464363937537,57.56045031614362,3
1,1,179.007775,211,-0.15039107148853456,-0.12123507170716352,-0.3563950572644341,0.4287337620689413,2
1,2,179.007775,2212,-0.5832558932530966,-0.6294522380394292,10.637968026321815,10.713688061490897,11
1,3,179.007775,211,0.3813814151358883,0.05397388305402989,15.66731876841895,15.672674377400163,13
1,4,179.007775,-211,-0.03501366843953065,0.043522155231657235,2.633649712673425,2.6379368318703946,13
1,5,179.007775,2212,0.28505386467700045,0.04541024824990014,38.3093179140273,38.321893317362665,14
1,6,179.007775,-2212,0.17203986363791118,0.7613025453849858,23.492581833119303,23.524262603937178,15
1,7,179.007775,22,0.012494819883806296,-0.08686281550584717,2.819870563372424,2.8212357688459573,19
1,8,179.007775,22,0.2634206202781684,-0.19904434924964073,8.496439235146749,8.50285180117218,19
1,9,179.007775,22,0.09697229241203517,-0.08285613285585064,10.383848871187631,10.384632210334274,21
1,10,179.007775,22,0.09140752748065598,-0.10825159920504679,4.440888639537592,4.443148169213425,21
1,11,179.007775,22,0.17691862629456212,-0.01992593434879115,2.6724427628199545,2.678366585017513,23
1,12,179.007775,22,0.04455192746172683,0.049530758668481376,2.257431416897354,2.258414216278764,23
2,0,179.007775,13,0.4350528845554493,-2.6249567219886294,50.3654324126079,50.43577713240123,3
2,1,179.007775,2212,-0.2878757741389495,0.831566705189619,72.39681352157588,72.40824079010099,19
2,2,179.007775,-2112,-0.09484706552131764,0.3542368484367009,25.590736609438956,25.610604672853924,19
2,3,179.007775,-211,0.2426748564296426,-0.17623123919595196,0.8089508104035948,0.8739735317298455,19
2,4,179.007775,211,-0.5975582969617745,0.7801843804347924,0.45012054515236344,1.0898861756213523,19
2,5,179.007775,2212,0.20914696763263718,-0.13350344828311791,4.851034289396144,4.947165844660007,26
2,6,179.007775,22,0.03452708348693202,0.11075347492528174,2.9266262112901136,2.9289246204558523,24
2,7,179.007775,22,-0.11153402579092783,0.6884651632735773,19.86978246944039,19.88201899965975,24
2,8,179.007775,22,0.139388529786036,0.055622951951001406,0.7793637227375763,0.7936818552411473,29
2,9,179.007775,22,0.031024840522271918,0.11386188525673355,0.9933942707341803,1.0003795513559561,29
