Energy,Cross_section_pb,pid,momentum,parent_pids,theta,phi
449.647202,7.6689e-07,,,,,
,,-211,"(-0.043256101387427026, 0.037670367064217114, 2.291625115167601, 2.2965878167901437)","(1114, 90)",0.025024960270860583,2.425107534311447
,,-2112,"(0.25125727203996356, 0.8258114111627918, 5.448327678507409, 5.595727028800602)","(-2114, 90)",0.15712589079364003,1.2754404251687332
,,22,"(-0.08873117373872094, 0.024793963402062195, 0.7778165764894281, 0.783253846767425)","(111, 90)",0.11789781231736171,2.869114559802158
,,22,"(0.004548418308572184, -0.058481851489328274, 0.21811027912622738, 0.22586037484085267)","(111, 90)",0.26272309298655877,4.79000759732617
,,,,,,
,,-13,"(1.4285429883788212, 1.7251923661703166, 38.28367824804362, 38.34929214477455)","(14, 2)",0.05844059266910952,0.8791850730905296
,,39,"(0.3586198731339031, 0.28328753280753116, 366.4040720895141, 366.9472168428069)","(39, 39)",0.001247289198115558,0.6685755076251062
,,-211,"(-1.0766287431985138, -1.48810575356549, 25.376823192571766, 25.443589041572412)","(1, 2103)",0.07225237488291834,4.086071648715171
,,2212,"(-0.1695394034672936, -0.3736203042134456, 8.472617918161118, 8.5342803282464)","(2224, 90)",0.048387303206732846,4.286400533043474
,,211,"(-0.3264496539547139, -0.5446177226687484, 8.313180965151382, 8.338563148688584)","(2224, 90)",0.07623223808321275,4.172402950793774
,,-211,"(-0.043894246186690855, -0.20883132804175836, 0.304800296007848, 0.3973917887506655)","(-213, 90)",0.6108015512879997,4.50521486707466
,,22,"(-0.06359356408815597, 0.272356888237494, 0.8366233054229728, 0.88213432715245)","(111, 90)",0.32261980187484085,1.800180154918114
,,22,"(-0.10705725061734267, 0.3343383212741014, 1.623120859762917, 1.6606518880787862)","(111, 90)",0.21300621041076379,1.8806864347595404
,,,,,,
,,-13,"(1.5315415899988443, -4.193729068452798, 59.871177079380104, 60.03750487859712)","(14, 2)",0.07443295813809525,5.062538572750283
,,39,"(0.5103710903513421, 3.4594525932817444, 354.0478772947098, 354.62689513437823)","(39, 39)",0.009876584054669785,1.4243234498979098
,,2212,"(-0.00014537200251868096, 0.11354996782060456, 8.261687135039303, 8.315570847903288)","(1, 2101)",0.013743308100979516,1.572076573067844
,,-211,"(-1.1038486142716935, -0.02368548877938509, 9.483218033903627, 9.548295493388508)","(-213, 90)",0.11590517940697455,3.1630465508519348
,,211,"(0.018386381089400786, -0.0172349220455267, 2.358102622347378, 2.3623638297199423)","(221, 90)",0.010686668823007322,5.530100903756874
